fixture_name	window_count	sequence_length	candidate_state_dim	paper_min_state_dim_without_body_orientation	max_body_position_local_error	max_body_velocity_local_error	max_root_rotation_current_frame_error	max_root_linear_velocity_current_frame_error	max_root_angular_velocity_current_frame_error	max_paper_current_root_position_zero_error	max_paper_root_xy_span	candidate_has_body_orientation_features	candidate_encodes_full_root_relative_position	candidate_body_velocity_subtracts_root_velocity	candidate_uses_window_current_frame_for_root_features	candidate_emphasis_is_diagonal_weights
walk1_subject1_frames_1_180_state_fixture	28	21	181	99	1.3877787807814457e-17	0.7874062423474195	0.06586187343265454	0.7816858868466658	0.030928000749507814	0.0	0.2311893371333601	True	False	False	False	True
run2_subject1_frames_1_180_state_fixture	28	21	181	99	0.0	1.8108774263211476	0.2767493533314031	1.1687931299897365	0.18654701529616968	0.0	0.4629168841354101	True	False	False	False	True
jumps1_subject1_frames_1_180_state_fixture	28	21	181	99	0.0	0.5647096233238627	0.6213514959483728	0.519516195777139	0.17541080051095428	0.0	0.15791327111534245	True	False	False	False	True
