source_path	exists	category	size	sha256	recommended	notes
/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1/meshes/logo_link.STL	True	mesh	243384	8571a0a19bc4916fa55f91449f51d5fdefd751000054865a842449429d5f155b	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1/meshes/pelvis.STL	True	mesh	1060884	5ba6bbc888e630550140d3c26763f10206da8c8bd30ed886b8ede41c61f57a31	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1/meshes/pelvis_contour_link.STL	True	mesh	1805184	5cc5c2c7a312329e3feeb2b03d3fc09fc29705bd01864f6767e51be959662420	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1/meshes/right_ankle_pitch_link.STL	True	mesh	71184	15be426539ec1be70246d4d82a168806db64a41301af8b35c197a33348c787a9	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1/meshes/right_ankle_roll_link.STL	True	mesh	653784	4b66222ea56653e627711b56d0a8949b4920da5df091da0ceb343f54e884e3a5	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1/meshes/right_elbow_link.STL	True	mesh	88784	1be925d7aa268bb8fddf5362b9173066890c7d32092c05638608126e59d1e2ab	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1/meshes/right_hand_index_0_link.STL	True	mesh	475984	12ab4300c95e437e834f9aef772b3b431c671bf34338930b52ad11aef73bbd0d	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1/meshes/right_hand_index_1_link.STL	True	mesh	1521784	c9c34efce4563cacdcfd29fc838a982976d40f5442c71219811dcbbf3923a33d	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1/meshes/right_hand_middle_0_link.STL	True	mesh	475984	12ab4300c95e437e834f9aef772b3b431c671bf34338930b52ad11aef73bbd0d	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1/meshes/right_hand_middle_1_link.STL	True	mesh	1521784	c9c34efce4563cacdcfd29fc838a982976d40f5442c71219811dcbbf3923a33d	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1/meshes/right_hand_palm_link.STL	True	mesh	2140184	86c0b231cc44477d64a6493e5a427ba16617a00738112dd187c652675b086fb9	False	
/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1/meshes/right_hand_thumb_0_link.STL	True	mesh	8884	544298d0ea1088f5b276a10cc6a6a9e533efdd91594955fdc956c46211d07f83	False	
