action_abs_mean,dones,frame,guidance_cost_after,guidance_cost_before,ik_error_max_m,ik_error_mean_m,pelvis_error_m,rewards,root_x,root_y,root_z,target_body_error_mean,time_s,torso_error_m,trace_reference_error_max_m,trace_reference_error_mean_m
0.04167453572154045,1.0,0,0.07581958174705505,0.07587285339832306,0.5898376225818244,0.1749799083746519,0.0,-0.0023217773996293545,0.016600478440523148,0.05277262628078461,0.772832989692688,0.3418048918247223,0.0,0.0010105554630326107,0.7814873696776492,0.34180488031356104
0.03143206643633428,1.0,1,0.07491157414652988,0.07496748638976125,0.5635654466020332,0.2150381121930112,0.0,0.01312984519831023,0.7077765201523335,0.7270967488100375,0.7824382962522103,0.3367827628264183,0.03333333333333333,0.005401074243753119,0.7695778084708066,0.32146276373315336
0.024705505077384893,1.0,2,0.07163273571328756,0.07168760036174332,0.49404245381902395,0.2030803662020307,0.0,0.021755154470691172,0.7450763607741995,0.7223942168762199,0.7885401181229504,0.3406574574106255,0.06666666666666667,0.006378906717852619,0.764555215536203,0.326953237391313
0.021590522608672058,1.0,3,0.06591855404371674,0.0659685825518351,0.36285392144756873,0.14743966923840723,0.0,0.023368400395049282,0.11070745061659881,0.02018811471162918,0.7910431223882067,0.3536710660149632,0.1,0.005522734270532669,0.7927155944739102,0.3531427410552492
0.020909338467702567,1.0,4,0.07967664211789324,0.07973218189846965,0.30847558298960537,0.12531817529140976,0.0,0.035438841212964006,0.44007672226774136,0.22480352824856684,0.7797159337519537,0.34334737055816733,0.13333333333333333,0.004862354218137523,0.7750567504297591,0.32711101306083384
0.023456669348252645,1.0,5,0.07822976608186097,0.07828164902123683,0.37483515368190323,0.1538714278592119,0.0,0.036782110508174565,0.4152319064417766,0.24868311403622073,0.7781242644600985,0.33507653805354654,0.16666666666666666,0.006627235622007746,0.7863923874535163,0.3328314874581331
0.029467547980276138,1.0,6,0.06001482426058211,0.06005296029797642,0.3972912372900602,0.13918599084589342,0.0,0.026343812153805345,-0.0077636548066986055,0.06328718937551803,0.7872890372053286,0.32937499562191275,0.2,0.0028268815252790827,0.7908802531989786,0.3291853138297186
0.027541952419254456,1.0,7,0.08201077261852527,0.08206600300917911,0.40318822588774555,0.13705577580752656,0.0,0.0315040909873948,-0.03218818014541553,0.037830926179222124,0.7821250272487479,0.34375446444099356,0.23333333333333334,0.004998843456336637,0.7931204303537874,0.33774185945648727
0.028604869413415678,1.0,8,0.09423260613114372,0.09429676545356588,0.41928830825988317,0.14734818667143143,0.0,0.03049384035120297,-0.023451928063845454,0.028727976858350376,0.7845909604781985,0.35390804824160044,0.26666666666666666,0.004900684315499602,0.7873038177700058,0.3514606669477689
0.033336739746525984,1.0,9,0.09400510479320662,0.09406787953557309,0.3974803413579529,0.13659206697870963,0.0,0.02193299422915901,0.010639349797238608,0.033284368976651955,0.7962368215643749,0.35859404076181167,0.3,0.004646902224734064,0.7743415058656764,0.35830226802879783
