rank,seed,steps,envs,total_env_steps,reward_mean,reward_std,done_count,timeout_count,action_abs_mean,action_abs_max,unique_motion_steps
0,20260682,299,512,153088,0.0235148875619189,0.014442473360752106,152633,0,0.035510260859598096,0.9999698996543884,11792
1,20260683,299,512,153088,0.023305109085414038,0.014716882443002817,153002,0,0.034913629400087916,0.8945614695549011,11873
