action_dim,mean_abs_action,rms_action,max_abs_action
0,0.044950539568445524,0.0558088984492674,0.5636382102966309
1,0.0726097290411855,0.08644811749938691,0.468616783618927
2,0.028955886911038925,0.039349754476474604,0.6682823300361633
3,0.0626601776815684,0.07759254234564393,0.5812768340110779
4,0.09143204950270233,0.1076493011374945,0.35182616114616394
5,0.03256700571826538,0.042504179085412756,0.4649975001811981
6,0.030267358733266806,0.04127418512210985,0.5960036516189575
7,0.02349735922864184,0.029915518347370256,0.19402432441711426
8,0.0471522990940511,0.060416512950714686,0.7859604954719543
9,0.030101522136733654,0.04211596203908651,0.4814073145389557
10,0.05438209857389623,0.06891024790956556,0.6262995004653931
11,0.027033959485248657,0.03625284247686452,0.34235507249832153
12,0.02966918289300785,0.03819661202037218,0.2658871114253998
13,0.030273058014692322,0.039753005406194836,0.5626915097236633
14,0.027214391000042845,0.03513943577405621,0.3252183198928833
15,0.02598179327367956,0.03542188175164633,0.38325533270835876
16,0.025555224003502863,0.03562094052125909,0.3433634638786316
17,0.024620031641216674,0.03183043611141601,0.2684025764465332
18,0.038579999681914647,0.049204358002818305,0.3015443980693817
19,0.025735075484115678,0.03430337418559613,0.3445894122123718
20,0.030629943715421878,0.04032768253519992,0.39731597900390625
21,0.030468750945949925,0.03947404808274314,0.453529417514801
22,0.025481949431299392,0.033732839209629197,0.2883695363998413
23,0.027920129820214367,0.036919154090644064,0.36947712302207947
24,0.027214573365809493,0.03621387531341042,0.30833056569099426
25,0.022339022042283843,0.03263675252015842,0.5607723593711853
26,0.028458927109507485,0.03653014364928881,0.249749556183815
27,0.030862286791616924,0.046240698742009256,0.9999698996543884
28,0.02453208387612715,0.033028222891821626,0.33570024371147156
