action_dim,mean_abs_action,rms_action,max_abs_action
0,0.04958573785570616,0.06179766695480173,0.36945840716362
1,0.06290414986786369,0.07569488284021794,0.3176184892654419
2,0.03202040956410545,0.039536201106469264,0.37332865595817566
3,0.053158036679526906,0.06818515548640652,0.4770796298980713
4,0.08491097180704128,0.10364426007998699,0.6875505447387695
5,0.027916730948527858,0.03666677407953424,0.3358181416988373
6,0.026806158562235387,0.03513529702546388,0.4164634943008423
7,0.026755421681273362,0.03369123752562352,0.40090298652648926
8,0.04494297421742551,0.0563763183213428,0.32937613129615784
9,0.028077328295230634,0.036843983126750905,0.4106277525424957
10,0.06550375342197924,0.08371267131485267,0.6484272480010986
11,0.02224601169065974,0.028879392961444744,0.28307199478149414
12,0.02716470575659549,0.03443640225731666,0.28732967376708984
13,0.024355066154474338,0.03209913318888415,0.23258642852306366
14,0.024207536114068492,0.03243542862833921,0.4755958318710327
15,0.02217127278443823,0.029333964815024198,0.32592713832855225
16,0.02204928575043404,0.02886465845204558,0.37561821937561035
17,0.023069349336911116,0.02978208374163696,0.24905246496200562
18,0.031323539668646934,0.04047568013024946,0.3057737946510315
19,0.025525413730024083,0.03379474624273074,0.4753319323062897
20,0.023084033866982413,0.030538024049074866,0.5007786750793457
21,0.021207434128579557,0.02800269517067503,0.3669089078903198
22,0.020580486551341398,0.027061015713998035,0.34026283025741577
23,0.024915395011588445,0.03227304892109724,0.4337889850139618
24,0.02333577966181953,0.03095162507395115,0.4779205620288849
25,0.026566996717069757,0.035011143591994386,0.32459113001823425
26,0.02272055141249749,0.02962836845295332,0.2170950472354889
27,0.021184138224570055,0.028065428444840085,0.43933042883872986
28,0.023290359329366437,0.030383986394767717,0.2616817057132721
