absolute_improvement,baseline_experiment,baseline_max,baseline_mean,baseline_min,best_beats_baseline,best_experiment,best_max,best_mean,best_min,figure_id,metric,range_based_effect_size,relative_improvement,row_count,scope,source_csv
0.0,origin,0.2841214457099341,0.2260517431905007,0.1595286205697049,False,origin,0.2841214457099341,0.2260517431905007,0.1595286205697049,ablation_orientation_representation,ori_err,0.0,0.0,3,global,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_orientation_representation/ablation_orientation_representation_processed.csv
0.018861392174303104,origin,0.305123961391055,0.2350160799679482,0.1654526865951076,True,quat,0.2374539057145845,0.2161546877936451,0.1810343681913814,ablation_orientation_representation,pos_err,0.6941379655877669,0.08025575176334931,3,global,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_orientation_representation/ablation_orientation_representation_processed.csv
0.0,origin,2.273323736094242,2.2021686769121027,2.0568967486725307,False,origin,2.273323736094242,2.2021686769121027,2.0568967486725307,ablation_orientation_representation,ang_vel_err,0.0,0.0,3,local,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_orientation_representation/ablation_orientation_representation_processed.csv
0.0,origin,0.439109754949983,0.4295093225787116,0.4166715744073563,False,origin,0.439109754949983,0.4295093225787116,0.4166715744073563,ablation_orientation_representation,lin_vel_err,0.0,0.0,3,local,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_orientation_representation/ablation_orientation_representation_processed.csv
0.0,origin,0.2150610453326235,0.2108194187593323,0.2035897851017291,False,origin,0.2150610453326235,0.2108194187593323,0.2035897851017291,ablation_orientation_representation,ori_err,0.0,0.0,3,local,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_orientation_representation/ablation_orientation_representation_processed.csv
0.0,origin,0.044593207557801,0.0433532576673678,0.041615631106963,False,origin,0.044593207557801,0.0433532576673678,0.041615631106963,ablation_orientation_representation,pos_err,0.0,0.0,3,local,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_orientation_representation/ablation_orientation_representation_processed.csv
0.0,origin,0.2841214457099341,0.2260517431905007,0.1595286205697049,False,origin,0.2841214457099341,0.2260517431905007,0.1595286205697049,ablation_observation_history,ori_err,0.0,0.0,4,global,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_observation_history/ablation_observation_history_processed.csv
0.0,origin,0.305123961391055,0.2350160799679482,0.1654526865951076,False,origin,0.305123961391055,0.2350160799679482,0.1654526865951076,ablation_observation_history,pos_err,0.0,0.0,4,global,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_observation_history/ablation_observation_history_processed.csv
0.0,origin,2.273323736094242,2.2021686769121027,2.0568967486725307,False,origin,2.273323736094242,2.2021686769121027,2.0568967486725307,ablation_observation_history,ang_vel_err,0.0,0.0,4,local,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_observation_history/ablation_observation_history_processed.csv
0.0,origin,0.439109754949983,0.4295093225787116,0.4166715744073563,False,origin,0.439109754949983,0.4295093225787116,0.4166715744073563,ablation_observation_history,lin_vel_err,0.0,0.0,4,local,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_observation_history/ablation_observation_history_processed.csv
0.0,origin,0.2150610453326235,0.2108194187593323,0.2035897851017291,False,origin,0.2150610453326235,0.2108194187593323,0.2035897851017291,ablation_observation_history,ori_err,0.0,0.0,4,local,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_observation_history/ablation_observation_history_processed.csv
0.0,origin,0.044593207557801,0.0433532576673678,0.041615631106963,False,origin,0.044593207557801,0.0433532576673678,0.041615631106963,ablation_observation_history,pos_err,0.0,0.0,4,local,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_observation_history/ablation_observation_history_processed.csv
0.0,origin,0.2841214457099341,0.2260517431905007,0.1595286205697049,False,origin,0.2841214457099341,0.2260517431905007,0.1595286205697049,ablation_armature,ori_err,0.0,0.0,4,global,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_armature/ablation_armature_processed.csv
0.01494983384765372,origin,0.305123961391055,0.2350160799679482,0.1654526865951076,True,arma0,0.2689374420551215,0.2200662461202945,0.1781161192516563,ablation_armature,pos_err,0.4974557692867204,0.06361196157170436,4,global,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_armature/ablation_armature_processed.csv
0.0,origin,2.273323736094242,2.2021686769121027,2.0568967486725307,False,origin,2.273323736094242,2.2021686769121027,2.0568967486725307,ablation_armature,ang_vel_err,0.0,0.0,4,local,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_armature/ablation_armature_processed.csv
0.0,origin,0.439109754949983,0.4295093225787116,0.4166715744073563,False,origin,0.439109754949983,0.4295093225787116,0.4166715744073563,ablation_armature,lin_vel_err,0.0,0.0,4,local,/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_armature/ablation_armature_processed.csv
