step,reward,action_abs_mean,target_body_error_mean
0,0.01131349429488182,0.07152663171291351,0.0033535489346832037
1,0.04337703809142113,0.0732852891087532,0.003574967384338379
2,0.04231027141213417,0.16579489409923553,0.0071768504567444324
3,0.0407244898378849,0.23488393425941467,0.01577119342982769
4,0.037069763988256454,0.29975131154060364,0.027635280042886734
5,0.03366219997406006,0.34830835461616516,0.044032324105501175
6,0.03081129863858223,0.381071537733078,0.06407184898853302
7,0.024272248148918152,0.45130568742752075,0.0883818045258522
8,0.022678472101688385,0.48813897371292114,0.11608666926622391
9,0.01949230581521988,0.5549226999282837,0.14813591539859772
10,0.01494009792804718,0.6119064688682556,0.18396225571632385
11,0.011566206812858582,0.6764492392539978,0.22383244335651398
12,0.006271010264754295,0.7558712363243103,0.0022973716259002686
13,0.04557899758219719,0.06456603854894638,0.0018823870923370123
14,0.0464499406516552,0.13501054048538208,0.0032335093710571527
15,0.044393401592969894,0.20113901793956757,0.011934744194149971
16,0.03926307335495949,0.25761139392852783,0.024840762838721275
17,0.03812213987112045,0.334446519613266,0.04132554307579994
18,0.034467827528715134,0.3907683491706848,0.062127139419317245
19,0.030855264514684677,0.43627509474754333,0.08612031489610672
20,0.026938404887914658,0.487356960773468,0.11505227535963058
21,0.023312900215387344,0.5313589572906494,0.14698553085327148
22,0.02023499086499214,0.5680240988731384,0.18351343274116516
23,0.01562407985329628,0.6151332259178162,0.22355762124061584
24,0.012449990957975388,0.6840382218360901,0.008357452228665352
25,0.04091468080878258,0.08293743431568146,0.0019430433167144656
26,0.037874381989240646,0.18295685946941376,0.008185505867004395
27,0.032738614827394485,0.2923847734928131,0.021596316248178482
28,0.030594084411859512,0.3669980764389038,0.039358172565698624
29,0.028838731348514557,0.42358285188674927,0.06164177134633064
30,0.025310885161161423,0.4788566827774048,0.08741814643144608
31,0.02145582064986229,0.532116711139679,0.11714969575405121
32,0.017895545810461044,0.5749262571334839,0.15088482201099396
33,0.014002382755279541,0.6583495140075684,0.1888168901205063
34,0.009885955601930618,0.7162541151046753,0.23030506074428558
35,0.004269178956747055,0.7979926466941833,0.005453505553305149
36,0.039763618260622025,0.09887955337762833,0.009998044930398464
37,0.03853984922170639,0.20721010863780975,0.019075045362114906
38,0.03284219652414322,0.28806260228157043,0.0308851208537817
39,0.02770133689045906,0.37902992963790894,0.045883357524871826
40,0.023690830916166306,0.48889315128326416,0.06448172777891159
41,0.019750431180000305,0.6117490530014038,0.08651483058929443
42,0.014754973351955414,0.7373993992805481,0.11244959384202957
43,0.010570134967565536,0.8598052263259888,0.1424303501844406
44,0.005644697695970535,0.9796066284179688,0.1760340929031372
45,0.0009229239076375961,1.082882046699524,0.21340902149677277
46,-0.0021911785006523132,1.1113487482070923,0.002346336841583252
47,0.05083039030432701,0.08484087139368057,0.00198048772290349
48,0.048583727329969406,0.16536970436573029,0.002493134466931224
49,0.04616313800215721,0.22447176277637482,0.010272852145135403
50,0.043244581669569016,0.2707497179508209,0.02291085012257099
51,0.04025666043162346,0.324403315782547,0.038528166711330414
