experiment,directory,scope,metric,mean,min,max
origin,origin_rosbag2_2025_10_22-01_35_46,global,pos_err,0.23501607996794827,0.1654526865951076,0.305123961391055
origin,origin_rosbag2_2025_10_22-01_35_46,global,ori_err,0.22605174319050073,0.15952862056970496,0.2841214457099341
origin,origin_rosbag2_2025_10_22-01_35_46,local,pos_err,0.0433532576673678,0.041615631106963084,0.04459320755780103
origin,origin_rosbag2_2025_10_22-01_35_46,local,ori_err,0.21081941875933233,0.20358978510172918,0.21506104533262352
origin,origin_rosbag2_2025_10_22-01_35_46,local,lin_vel_err,0.42950932257871166,0.4166715744073563,0.43910975494998306
origin,origin_rosbag2_2025_10_22-01_35_46,local,ang_vel_err,2.2021686769121027,2.0568967486725307,2.273323736094242
quat,quat_rosbag2_2025_10_22-01_17_38,global,pos_err,0.2161546877936451,0.1810343681913814,0.23745390571458455
quat,quat_rosbag2_2025_10_22-01_17_38,global,ori_err,0.4092932883214339,0.3996896764976547,0.41966888459451984
quat,quat_rosbag2_2025_10_22-01_17_38,local,pos_err,0.04998580681216777,0.049659008864731555,0.05026499691441749
quat,quat_rosbag2_2025_10_22-01_17_38,local,ori_err,0.24351967701763536,0.24113933656192632,0.2451956190062287
quat,quat_rosbag2_2025_10_22-01_17_38,local,lin_vel_err,0.4607700015227077,0.45649193175432906,0.4640373822971178
quat,quat_rosbag2_2025_10_22-01_17_38,local,ang_vel_err,2.3683028588342543,2.320738349641112,2.405526256308421
axisangle,axisangle_rosbag2_2025_10_22-01_24_25,global,pos_err,0.6656313784153236,0.5316238358171882,0.911989050227579
axisangle,axisangle_rosbag2_2025_10_22-01_24_25,global,ori_err,0.5159031502373965,0.11694572334588083,0.9059086839705472
axisangle,axisangle_rosbag2_2025_10_22-01_24_25,local,pos_err,0.04870324514281127,0.04409839524140306,0.05789997773954342
axisangle,axisangle_rosbag2_2025_10_22-01_24_25,local,ori_err,0.23635317368271547,0.2125056350395255,0.27881617815985754
axisangle,axisangle_rosbag2_2025_10_22-01_24_25,local,lin_vel_err,0.49663474625598275,0.4430144847926888,0.5976698825766882
axisangle,axisangle_rosbag2_2025_10_22-01_24_25,local,ang_vel_err,2.6910930277000182,2.3223804849041922,3.3659847383892716
