action_dim,mean_abs_action,rms_action,max_abs_action
0,0.5501416773299432,0.7855225055228512,4.948657512664795
1,0.46701853140221405,0.6687091557819086,4.9397077560424805
2,0.5781762812202638,0.8164332287789353,4.936333179473877
3,0.5213631780939508,0.7861335698076141,6.38103723526001
4,0.43863565161862966,0.6298376402578425,4.578723907470703
5,0.5446900343858182,0.7752341163608679,4.434566974639893
6,0.5799876174489424,0.8220520209239703,5.27556848526001
7,0.41424089378040624,0.5835355247869375,4.610396862030029
8,0.5076206104821901,0.7246138580926951,5.447731971740723
9,0.4341678826898849,0.5958547294132099,4.49362850189209
10,0.4163797407136828,0.5914871529813368,4.728626728057861
11,0.5105089723716404,0.7431679967426941,4.36311149597168
12,0.8004621375035811,1.0559542332298644,4.798417568206787
13,0.5476130898419298,0.7629631987605504,5.149968147277832
14,0.6487247782862327,0.8602129036665019,7.149348258972168
15,0.40309988949442516,0.5815542557667945,5.4083709716796875
16,0.4493277829340401,0.6247267342765102,3.848252773284912
17,0.5067276198364119,0.6196756630873892,3.2917914390563965
18,0.605597614344184,0.7468494079648297,3.73427414894104
19,0.42384081860161,0.5856234213688789,3.1663360595703125
20,0.5522485189743029,0.7681889055958866,5.791802406311035
21,0.4658018445986871,0.6463202326866144,5.610994338989258
22,0.5495603799594039,0.7905149749709535,6.2001848220825195
23,0.5727966853037622,0.786082435329813,4.6237101554870605
24,0.43493551747719705,0.6157505631162662,4.389567852020264
25,0.4911314143575272,0.7081749556256648,6.041517734527588
26,0.507395909474992,0.7122023842316154,4.822539329528809
27,0.48438796735855405,0.6986371271590753,4.574635982513428
28,0.3847078882722188,0.5582854372829716,4.26924991607666
