term	dimension	max_abs_error	passed	source	notes
command	58	0.0	True	motion_file_or_last_action	Compared to official IsaacLab critic/noise-free shared term.
motion_anchor_pos_b	3	0.005084645669435443	False	mujoco_runtime_injected_state	Compared to official IsaacLab critic/noise-free shared term.
motion_anchor_ori_b	6	0.14584921251276103	False	mujoco_runtime_injected_state	Compared to official IsaacLab critic/noise-free shared term.
base_lin_vel	3	9.24946780278546e-09	True	mujoco_runtime_injected_state	Compared to official IsaacLab critic/noise-free shared term.
base_ang_vel	3	1.2109654057290697e-08	True	mujoco_runtime_injected_state	Compared to official IsaacLab critic/noise-free shared term.
joint_pos	29	2.7008354663848877e-08	True	mujoco_runtime_injected_state	Compared to official IsaacLab critic/noise-free shared term.
joint_vel	29	0.0	True	mujoco_runtime_injected_state	Compared to official IsaacLab critic/noise-free shared term.
actions	29	0.0	True	motion_file_or_last_action	Compared to official IsaacLab critic/noise-free shared term.
