frame,source_joint_index,time_s,root_x,root_y,root_z,joint_abs_mean,joint_vel_abs_mean
0,0,0.0,-2.452005171635545,-0.03997462486535415,0.754827795335379,0.17056403682639437,0.006799492123938198
1,2,0.004005152033641934,-2.451984819424612,-0.039987437227996914,0.7548374022500766,0.17056626560676297,0.008498854052018502
2,4,0.008011871948838234,-2.451982848284951,-0.039994710554578816,0.7548474314947481,0.17056163506690766,0.008028644980091986
3,6,0.01199756795540452,-2.451952903257428,-0.0399865603935862,0.7548650798175587,0.1705621623630828,0.004470225706584109
4,8,0.01600662397686392,-2.4519453332849372,-0.03998130415080208,0.7548563482338632,0.17056759674822639,0.01048964172890731
5,10,0.020003712037578225,-2.4519612277335114,-0.0399804079701712,0.7548303589214244,0.17056176182312152,0.008875728388124242
6,12,0.024011199944652617,-2.4519597193029314,-0.039985537716814255,0.7548346881945732,0.17056334822876218,0.006520940815821162
7,14,0.028008927940391004,-2.451974982157107,-0.039974873352742316,0.7548320174230887,0.17056357935030847,0.008396230898958084
8,16,0.03200543997809291,-2.4519730415011267,-0.039971815005253535,0.7548282818519128,0.17056496143401279,0.007081773077892461
9,18,0.03600163199007511,-2.4519527067284095,-0.039977381227926934,0.7548255130543859,0.17056510387317694,0.007897542729363617
10,20,0.04000652802642435,-2.451954982980138,-0.03996067432125514,0.7548261577396299,0.17056434668132892,0.006753976448792322
11,22,0.04399827204179019,-2.4519697377089527,-0.039953538141791374,0.7548109181049862,0.17056466274842588,0.006157699350171305
12,24,0.047999680042266846,-2.4519564814573926,-0.039956011959219676,0.7548178598236266,0.17056295436963537,0.007540850942263958
13,26,0.05200457596220076,-2.4519433780033633,-0.03994998289121562,0.7548079333245374,0.1705662915342616,0.008764419206899816
14,28,0.056007231934927404,-2.451950668261702,-0.03995054947949794,0.7547964748172139,0.1705639821884688,0.008501106472475182
15,30,0.05999785603489727,-2.4519678101877576,-0.03995157672965897,0.7547788657098083,0.17056132327757198,0.007182197103373192
16,32,0.06402841594535857,-2.4519446177945703,-0.03995122876731205,0.7547958317499587,0.17056887574867216,0.009462126390205631
17,34,0.06801561603788286,-2.4519452147987613,-0.039948004916003456,0.7548018173035194,0.17055957678380293,0.004710748573635446
18,36,0.07200710393954068,-2.451932805209985,-0.03995058169929618,0.7548130801264928,0.17056208677341006,0.007901772843916691
19,38,0.0760017919819802,-2.451948502506241,-0.03994225350805789,0.7548120259209776,0.17056298035333448,0.00676934038497636
20,40,0.08000982401426882,-2.4519477053612198,-0.03995771282974302,0.754805161466085,0.17056240180330673,0.0054802991578291205
21,42,0.08400278398767114,-2.4519497476488725,-0.03994980998787695,0.7548167765880339,0.17056358788676304,0.006768007696493818
22,44,0.08800441597122699,-2.451955874603424,-0.03994371675877549,0.7548173238120234,0.17056240496859917,0.008053363547740697
23,46,0.09200348798185587,-2.451936565806937,-0.03994213003747059,0.7548193274404804,0.17055862946215022,0.007778440640259791
24,48,0.09608287992887199,-2.451935280840909,-0.03993716057167674,0.754823649231799,0.17056143021006298,0.00819870656163528
25,50,0.10000720003154129,-2.451945908346042,-0.03994650718196666,0.754824071075274,0.17056327062891796,0.006621913223327659
26,52,0.10400534397922456,-2.4519408306855253,-0.03994659433418308,0.7548356577148334,0.1705666609893248,0.007161634917981152
27,54,0.10800585593096912,-2.451944898938765,-0.039939182589486734,0.754822495549877,0.17056369297668048,0.007604768497724857
28,56,0.11200255993753672,-2.4519474145152853,-0.03993400847427378,0.7548252410097688,0.17056252870704688,0.008931269887272782
29,58,0.11610009602736682,-2.451938302290291,-0.03994286008127235,0.7548174673377428,0.17056409658860125,0.00655184169377678
30,60,0.12001497601158917,-2.4519578391980446,-0.039943393926740796,0.754824958004552,0.17056203448687327,0.006911038629839133
31,62,0.1240183039335534,-2.451956543807591,-0.03993113654811399,0.754820474535638,0.17056305242746522,0.00885146682487865
32,64,0.1280049600172788,-2.451960676908013,-0.0399406260489455,0.7548091490501189,0.17056247403198885,0.008429491836256508
33,66,0.13201548799406737,-2.451958430856318,-0.0399531360506618,0.7548033313199878,0.17055927110025018,0.008156512273828787
34,68,0.1360943999607116,-2.451961136751156,-0.039949011366273,0.754820069549257,0.17056393253131255,0.00548111462740837
35,70,0.14002063998486847,-2.4519558009563567,-0.039953165568522,0.7548267071078856,0.17056393253131255,0.00548111462740837
36,72,0.14401571196503937,-2.4519368330231024,-0.03995443588279799,0.7548122224953235,0.1705621999587085,0.007864098538291352
37,74,0.14800537598785013,-2.451908246628528,-0.03996275273428688,0.7548204377339696,0.17056190337913496,0.008720619064065275
38,76,0.15200780797749758,-2.45192420937875,-0.039948852867303195,0.7548163402431791,0.1705618199093492,0.007194103424212542
39,78,0.1560130879515782,-2.4519275640223395,-0.039956396826423796,0.7548178595561018,0.17055900749180403,0.0068756544235933185
40,80,0.16000918403733522,-2.4518928680980463,-0.03997129542275532,0.7548315538535179,0.17056205050401582,0.007483443127496465
41,82,0.16400940797757357,-2.45189544631077,-0.039983642886123445,0.7548392070743228,0.17056295011445463,0.00624531723462559
42,84,0.16801126394420862,-2.4519176859818943,-0.03997591330685617,0.7548275837118996,0.17056136809446015,0.00814424897544086
43,86,0.17201535997446626,-2.4518973772441144,-0.03998260185658551,0.7548110275880774,0.1705651169568541,0.005744540218890099
44,88,0.17601132800336927,-2.451903549887585,-0.03998268305011194,0.7548176358636347,0.17056223325700307,0.005189278245309432
45,90,0.1800918719964102,-2.4519071421770944,-0.03996665684185342,0.7548069016578369,0.17056367529760885,0.005646531564456507
46,92,0.1840242239413783,-2.451914337393387,-0.03995956918660701,0.7548111553056089,0.17056462845006348,0.00859185574367514
47,94,0.1880100159905851,-2.451921503920558,-0.039965604807414776,0.7548149898090928,0.1705638800239881,0.008633362261803243
48,96,0.19202182395383716,-2.451927717716213,-0.039963773659185416,0.7548309201067024,0.1705656043717493,0.009285718046534197
49,98,0.19601046398747712,-2.4519305089078713,-0.03996402114403061,0.7548514051369752,0.17056254563443685,0.00868044861849269
50,100,0.20012643199879676,-2.4519319792672527,-0.03996478556257743,0.7548511553458419,0.17056542915765774,0.007673526704632516
51,102,0.2040163519559428,-2.4519119307883175,-0.03997918671859423,0.7548308384818393,0.17056215808381617,0.008761313153345014
52,104,0.20800383994355798,-2.4519119436631818,-0.039970971515457504,0.7548438631512862,0.1705627224171245,0.00721870720434677
53,106,0.21200428798329085,-2.4519095390266723,-0.0399733115575567,0.7548373275397606,0.17056201162631623,0.009515442540226826
54,108,0.21600982395466417,-2.451908029031217,-0.039972395267277624,0.7548351461651844,0.17056223574588236,0.00750191467171856
55,110,0.22000495996326208,-2.4519079275773885,-0.03997746897347658,0.7548240881876377,0.17056424706945486,0.008967887908887672
56,112,0.22400156792718917,-2.4519223567107153,-0.03997846138417512,0.7548281220198976,0.1705629433543373,0.007585220231578268
57,114,0.2280189759330824,-2.451913457461505,-0.039986008067478554,0.7548278371197962,0.17056248883178843,0.007612414738356039
58,116,0.23200492793694139,-2.451910328802166,-0.03997572549166423,0.7548362776261223,0.1705622836246942,0.007640197719693192
59,118,0.23599843203555793,-2.4519230427645713,-0.03997168702905797,0.754848599482681,0.17056357796235685,0.008234883753928068
60,120,0.23999449599068612,-2.4519397966017378,-0.03994541425708977,0.7548425351563197,0.17056415995265806,0.006951829591155823
61,122,0.24409462395124137,-2.451950872993927,-0.03995423236776958,0.7548307948332872,0.170559149725736,0.0074108029989945175
62,124,0.2480141760315746,-2.4519443873964946,-0.039960852801036284,0.7548451234794438,0.1705672134141486,0.008470624083139259
63,126,0.25200339197181165,-2.4519484404347387,-0.039943987014723355,0.7548454062186449,0.17056512595696277,0.008119493831302328
64,128,0.2560172160156071,-2.4519506211316844,-0.03995037075209388,0.7548460169286254,0.1705620154359073,0.008207052823277551
65,130,0.2600177919957787,-2.4519589722624446,-0.03992999734152711,0.7548563869442693,0.17056447772634345,0.008388920072947854
66,132,0.26408364798408,-2.4519650784466904,-0.03992326935165248,0.7548512240712385,0.1705645634381277,0.00891946250139254
67,134,0.26801193598657846,-2.4519666450477784,-0.0399311347951858,0.7548464449841651,0.17056318441433993,0.006241708347605991
68,136,0.2720056319376454,-2.4519511303968424,-0.03994094297512713,0.7548472752688704,0.17056435433112022,0.007290500565432012
69,138,0.2760330239543691,-2.451954583466537,-0.0399426677291995,0.7548376480055455,0.17056050803060724,0.006951480437519735
70,140,0.28001212794333696,-2.4519445622060454,-0.03992676290376197,0.754865448806931,0.1705675510125604,0.0075805967031117
71,142,0.28400220803450793,-2.4519303500439333,-0.039942265412713236,0.7548653541478746,0.17056343172514282,0.006180467481468001
72,144,0.2880254079354927,-2.451936590909061,-0.039939252518796584,0.7548495314536865,0.1705631941550909,0.008147209742234955
73,146,0.2920078079914674,-2.4519295360666833,-0.03994161980072904,0.7548400892614842,0.17056236353678758,0.006791246854218429
74,148,0.29600947198923677,-2.451925897059822,-0.039940276594633686,0.7548362874297737,0.17056374945717961,0.005684037829331797
75,150,0.3000280000269413,-2.4519057905712907,-0.03994401677842715,0.7548443085260855,0.17056514172822815,0.005919034693165329
76,152,0.3039970239624381,-2.451897540983851,-0.03994235619408419,0.75482915381982,0.17056363207189734,0.010122529263126439
77,154,0.30811030394397676,-2.4518934931966343,-0.03994584823432597,0.7548428344844587,0.17056555776045948,0.004706179385940577
78,156,0.3120038079796359,-2.4518874456822353,-0.039953212688870754,0.7548432484095167,0.17056431710230316,0.005322969968205896
79,158,0.31602019199635834,-2.4519002245662453,-0.039938619867019874,0.7548397408706318,0.1705661488823384,0.006958213877090924
80,160,0.3200063039548695,-2.451900680131698,-0.03994060921873818,0.7548416552864353,0.17056231546829903,0.00783718656146385
81,162,0.32399987196549773,-2.45190107658532,-0.03993986317109131,0.7548310316761843,0.17056330028672478,0.007594164565269803
82,164,0.32800499198492616,-2.45188978366673,-0.03992936710837893,0.7548376164513174,0.17056042568332613,0.006877327883808777
83,166,0.33201734395697713,-2.4518933188159417,-0.03993983690818374,0.7548381112576018,0.17056270623690015,0.007103891201417167
84,168,0.3360055680386722,-2.451892266722592,-0.03994476021219376,0.7548274999253333,0.17056312321600953,0.005788696363793108
85,170,0.340003808028996,-2.4518975838443042,-0.03994872574290037,0.7548210713010746,0.1705647921741635,0.007406136434994927
86,172,0.34400416002608836,-2.4519027142059575,-0.039954866156132314,0.7548143539430855,0.17056626198885577,0.00956759587781311
87,174,0.3480033599771559,-2.4518984675246016,-0.039955567421639186,0.754824944805824,0.17056030906026315,0.008472965548521486
88,176,0.352078240015544,-2.4519001551441604,-0.039943070583971986,0.7548037809574806,0.17056333599712475,0.007492381092827694
89,178,0.35600188793614507,-2.4519114553451864,-0.03993464993135208,0.7548022748117023,0.17056464314247996,0.007406536409438684
90,180,0.360004415968433,-2.4519096557537736,-0.03993379386706657,0.7548049453521974,0.1705658906159505,0.0078082271823498965
91,182,0.3640041280305013,-2.451904200374445,-0.03994709245091002,0.754808730741403,0.17056309966850175,0.0075693231071987796
92,184,0.36800627200864255,-2.4519052367348513,-0.03993722274517425,0.7548185980594238,0.17056377159616234,0.005923617862020458
93,186,0.37200192001182586,-2.4518904490737032,-0.03993924661974868,0.7548206766899639,0.17056367013017357,0.009713211871587253
94,188,0.37599990400485694,-2.4518724920299793,-0.03993647717314952,0.754816714716336,0.17056384280821757,0.006107684683600506
95,190,0.37999577599111944,-2.4518680388388656,-0.03993477815279918,0.7548266944291376,0.17056232687499343,0.00745914263875577
96,192,0.3839981759665534,-2.4518486926119865,-0.03994240981089682,0.7548251742880532,0.17056494637629308,0.006865694781701113
97,194,0.3880053759785369,-2.4518360054269293,-0.0399476171625583,0.7548294821301225,0.17056435015722948,0.008915539096302256
98,196,0.3920066560385749,-2.4518460715901726,-0.03994803132845476,0.7548172938295397,0.1705601398244998,0.007246054158995634
99,198,0.3960079359821975,-2.451848083548027,-0.03995535601101902,0.7548155744152223,0.17056510107118059,0.00667214370012767
100,200,0.39999939198605716,-2.4518581341654992,-0.039959705323558234,0.7548009521326601,0.17056459307787009,0.007407457226534085
101,202,0.40401113603729755,-2.4518697539466348,-0.03995143907927858,0.7548114300610892,0.17056402743790008,0.00599140390665431
102,204,0.4080120319267735,-2.451877590308283,-0.03994438824426721,0.7548266946655704,0.1705608299952442,0.004986103303681062
103,206,0.41200038394890726,-2.451856443318153,-0.03995960295797416,0.7548423666633504,0.170564890464824,0.0066029753311183945
104,208,0.41612291196361184,-2.4518589897446934,-0.039948779742839176,0.7548371547866671,0.17056552296131047,0.009528711803482267
105,210,0.42000643198844045,-2.451859009713493,-0.03994208919675478,0.7548537562919322,0.17056289625430382,0.00827955898571888
106,212,0.4240078399889171,-2.4518618642837655,-0.03994660041088938,0.7548595032673969,0.17056399511909995,0.008528216426854888
107,214,0.4280178559711203,-2.4518706193037323,-0.03994294677061119,0.7548591361124101,0.17056349931427295,0.008475207992636695
108,216,0.43200748797971755,-2.451868134724165,-0.03995071962337255,0.7548674388699572,0.17056064410556654,0.008270576168734837
109,218,0.4360116480384022,-2.4518659823989797,-0.03993979182015076,0.7548566677869053,0.17056253543003172,0.007350033614784479
110,220,0.44001168000977486,-2.451859187233764,-0.03994325717411486,0.7548489808916075,0.17056554965052656,0.006928796508622452
111,222,0.4440132159506902,-2.4518554005394555,-0.03994838583919582,0.7548414262408644,0.1705659243422721,0.009496177717288634
112,224,0.4480126720154658,-2.4518514106232967,-0.0399462953426928,0.754844170907917,0.17056237444721145,0.005404974588851348
113,226,0.4520085760159418,-2.4518486404876847,-0.03994102997012002,0.7548385761821184,0.17056050475843348,0.009522998051171929
114,228,0.45599913597106934,-2.4518644887746412,-0.039944769454093774,0.7548278561830335,0.17056150983513235,0.008150271766273112
