split	sample_count	action_mse	action_abs_error_mean	latent_mu_abs_mean	kl_mean
test	30618	0.002976319403387606	0.04116625525057316	2.5042234659194946	7.692386150360107
train	244940	0.0029107064629594484	0.04082348396380742	2.501956605911255	7.679784170786539
validation	30618	0.0029512199107557535	0.041059961542487144	2.5032793283462524	7.67915940284729
