stage,split,sample_count,action_mse,action_abs_error_mean,kl_mean,pred_token_mse,noisy_token_mse,denoising_improvement_ratio
vae,test,122471,0.00019815583800664172,0.010908454074524343,0.2094043754041195,,,
vae,train,979763,0.00019605412793074115,0.010884847460935513,0.20947364916404088,,,
vae,validation,122470,0.00019741396863537375,0.010902527254074812,0.20982895977795124,,,
diffusion,test,114278,,,,0.013214186100023133,0.06736994787518467,0.8038563704323348
diffusion,validation,114279,,,,0.013213991254035915,0.06739423397396292,0.8039299436337386
