stage,status,sample_count,motion_time_step_max,window_count,test_action_mse,test_denoising_improvement_ratio
teacher_rollout_vae,ok_official_importer_export_scaled_ppo_teacher_rollout_vae_training,1224704,11959,,0.00019815583800664172,
state_latent_dataset,ok_official_importer_export_scaled_ppo_teacher_rollout_state_latent_dataset,1224704,,1142784,,
state_latent_diffusion,ok_official_importer_export_scaled_ppo_state_latent_diffusion_training,1224704,,1142784,,0.8038563704323348
