check	passed	detail
checkpoint_file_exists	True	
checkpoint_has_required_keys	True	
paper_dimensions_match	True	
gradient_accumulation_matches_paper	True	
loaded_eval_action_matches_saved_model	True	
optimizer_state_restored	True	
parameter_update_nonzero	True	
marks_not_trained_paper_checkpoint	True	
does_not_claim_true_dagger_rollout	True	
does_not_claim_goal_complete	True	
