task,split,scale,window_count,action_count,base_teacher_action_mse,guided_teacher_action_mse,guided_minus_base_teacher_mse,guided_base_action_l2_mean,finite
velocity_command,validation,0.01,28570,599970,0.09188421570863026,0.09188421542799483,-2.806354398179679e-10,8.995853510723622e-07,True
velocity_command,test,0.01,28570,599970,0.09180989945914321,0.09180989794371185,-1.5154313750170267e-09,8.867496802418381e-07,True
latent_smoothness,validation,0.01,28570,599970,0.09188421570863026,0.09188421475446977,-9.54160495381091e-10,1.7957197419705087e-06,True
latent_smoothness,test,0.01,28570,599970,0.09180989945914321,0.09180989755082222,-1.908320990762182e-09,1.8133380205156441e-06,True
latent_magnitude,validation,0.01,28570,599970,0.09188421570863026,0.09188421408094471,-1.6276855509442139e-09,3.2555273475997288e-06,True
latent_magnitude,test,0.01,28570,599970,0.09180989945914321,0.0918098972140597,-2.2450835185437434e-09,3.2435126569368766e-06,True
composed,validation,0.01,28570,599970,0.09188421570863026,0.09188421486672393,-8.419063194539037e-10,1.0846104174030282e-06,True
composed,test,0.01,28570,599970,0.09180989945914321,0.09180989805596601,-1.4031771990898396e-09,1.0684205020985282e-06,True
