split	window_count	token_count	noisy_token_mse	pred_token_mse	clean_current_action_mse	noisy_current_action_mse	pred_current_action_mse	token_mse_reduction_vs_noisy	current_action_delta_vs_noisy
train	28	588	0.0705409995178699	0.0007233637408933863	4.8374803271042207e-08	0.1001553906610184	0.0011821404169720788	0.9897454849543187	0.09897325024404632
validation	28	588	0.06588263326594451	0.007219147213891228	0.00013735012193470528	0.10458140389661756	0.009416264484913103	0.890424124598206	0.09516513941170446
test	28	588	0.06476386003026005	0.006055245326838027	0.00011891466382748985	0.08045073688090032	0.008886663625808453	0.9065027111724224	0.07156407325509187
