split	sample_count	action_mse	action_abs_error_mean	latent_mu_abs_mean	kl_mean
test	30618	0.0033218273892998695	0.04307248070836067	2.864369511604309	9.420601844787598
train	244940	0.003277168966208895	0.04277361085017522	2.862224896748861	9.418039004007975
validation	30618	0.0033309997525066137	0.04292747750878334	2.857657790184021	9.403882503509521
