task,seed_count,guided_reward_mean,guided_reward_std,guided_target_body_error_mean,guided_target_body_error_std,guided_done_count_total_mean,guided_done_count_total_std,guidance_cost_delta_mean,guidance_cost_delta_std,guided_teacher_action_mse_mean,guided_teacher_action_mse_std
joystick,5,0.021954482373934124,0.0023058839662547736,0.08180097341537476,0.0025472689716202353,25.0,0.6324555320336759,6.341645151476398e-05,2.0058087792770667e-06,0.014141227676218568,0.0019413128561844924
waypoint,5,0.022448493876684468,0.0027030886724763352,0.08056965321302414,0.001922534555211078,25.0,0.6324555320336759,1.65683369971438e-05,8.648635905097794e-07,0.013592144171162243,0.0011302838030113785
obstacle_avoidance,5,0.024278478643367917,0.0017859145015873819,0.08039124161005021,0.0004516324924528522,25.2,0.39999999999999997,1.0189124971727862e-05,1.2749856328582149e-06,0.011774991181707103,0.0011336670929217906
composed,5,0.02204239875900506,0.0013825664952876269,0.08011763840913773,0.0011010250474115585,25.2,0.39999999999999997,5.491330073429988e-05,1.2620248627778743e-06,0.012744489715693138,0.000952703448645304
