motion_id,motion,sample_count,done_rate,ee_body_pos_rate,left_ankle_roll_link_pre_z_mean,left_ankle_roll_link_post_z_mean,left_ankle_roll_link_pre_exceed_rate,left_ankle_roll_link_post_exceed_rate,left_ankle_roll_link_pre_z_max,left_ankle_roll_link_post_z_max,right_ankle_roll_link_pre_z_mean,right_ankle_roll_link_post_z_mean,right_ankle_roll_link_pre_exceed_rate,right_ankle_roll_link_post_exceed_rate,right_ankle_roll_link_pre_z_max,right_ankle_roll_link_post_z_max,left_wrist_yaw_link_pre_z_mean,left_wrist_yaw_link_post_z_mean,left_wrist_yaw_link_pre_exceed_rate,left_wrist_yaw_link_post_exceed_rate,left_wrist_yaw_link_pre_z_max,left_wrist_yaw_link_post_z_max,right_wrist_yaw_link_pre_z_mean,right_wrist_yaw_link_post_z_mean,right_wrist_yaw_link_pre_exceed_rate,right_wrist_yaw_link_post_exceed_rate,right_wrist_yaw_link_pre_z_max,right_wrist_yaw_link_post_z_max,wrist_pre_exceed_rate,ankle_pre_exceed_rate,wrist_minus_ankle_pre_exceed_rate
0,dance1_subject1,12499,0.11656932554604368,0.10272821825746059,0.027820654979558483,0.04022737052114294,0.0009600768061444916,0.02808224657972638,0.3068011701107025,0.8541315197944641,0.01793612789084591,0.022190067555577443,0.0,0.006000480038403072,0.14379645884037018,0.5369173884391785,0.14712418189849155,0.1513496336328744,0.011920953676294104,0.02680214417153372,0.3588717579841614,0.9211681485176086,0.10285193799819858,0.10060655421205059,0.0006400512040963277,0.012961036882950637,0.25895071029663086,0.9518571496009827,0.011920953676294104,0.0009600768061444916,0.010960876870149612
1,dance1_subject2,13494,0.4705795168222914,0.46020453534904404,0.06507732719017326,0.1044919999498265,0.0,0.11486586631095301,0.24507418274879456,0.8321349620819092,0.05741555806209626,0.0568835857697411,0.0,0.027938342967244702,0.19217737019062042,0.5896636843681335,0.22225586117877597,0.18196595619745,0.3167333629761375,0.10130428338520824,0.5724453926086426,0.9200953841209412,0.05316321841783836,0.08227961197963675,0.0034089224840669926,0.04342670816659256,0.44758349657058716,0.9791441559791565,0.3167333629761375,0.0,0.3167333629761375
2,dance1_subject3,13149,0.16206555631606967,0.1300479123887748,0.03678768263977193,0.0548740411223316,0.0003802570537683474,0.03954673359190813,0.28086093068122864,0.7925686240196228,0.02013707409373222,0.025119907537095445,0.0,0.011255608791543083,0.19229404628276825,0.5815989971160889,0.16777059965527497,0.16291903381370684,0.022511217583086166,0.03711308844779071,0.6363390684127808,0.5173614621162415,0.07490573157211775,0.07706066739802597,0.0034223134839151265,0.015362384972241235,0.4593026638031006,0.615265965461731,0.022511217583086166,0.0003802570537683474,0.02213096052931782
3,dance2_subject1,18812,0.15755900489049543,0.13783755049968105,0.03922440030346893,0.051430266947065095,0.012385711248139485,0.037688709334467364,0.40311580896377563,0.8222666382789612,0.017088553411088045,0.022709925044225,0.0,0.008770997235806932,0.24290865659713745,0.6046727895736694,0.16070631839685076,0.15798461813398074,0.035562406974271744,0.036678715713374443,0.49858731031417847,0.9044620394706726,0.08339685207981773,0.08108798173271467,0.006857325111630874,0.015256219434403572,0.4799949526786804,1.0161528587341309,0.035562406974271744,0.012385711248139485,0.02317669572613226
4,dance2_subject2,13399,0.18449137995372789,0.18396895290693335,0.04593004699910708,0.06327383960541264,0.0,0.0438838719307411,0.1495741754770279,0.837116539478302,0.020595594647560327,0.025567179867437957,0.0,0.011344130158967087,0.11838796734809875,0.5915536284446716,0.19908148832343944,0.19604864295373808,0.022762892753190538,0.04477946115381745,0.3751063942909241,0.5162918567657471,0.04319958245454417,0.05438224208053346,0.0005224270467945369,0.014553324874990671,0.4345734119415283,0.43920058012008667,0.022762892753190538,0.0,0.022762892753190538
5,dance2_subject3,17319,0.17662682602921648,0.17651134592066517,0.020212903348003596,0.04159396498680383,0.0,0.0427853802182574,0.11290496587753296,0.7846107482910156,0.017702581493436818,0.023496615393101786,0.0,0.009238408684104162,0.09279218316078186,0.585695207118988,0.19452184133437705,0.1932148524026644,0.00733298689300768,0.03608753392228189,0.3870946168899536,0.4950460195541382,0.05129084821330791,0.054950486143953196,0.0,0.01535885443732317,0.2219090461730957,0.43866169452667236,0.00733298689300768,0.0,0.00733298689300768
6,dance2_subject4,12943,0.435602256045739,0.435602256045739,0.023669566333559863,0.08192582888410553,0.0,0.11195240670632775,0.09019991755485535,0.8331034183502197,0.00870964218848899,0.02881443447717709,0.0,0.026423549408946923,0.06284593790769577,0.5980868935585022,0.23717702646707906,0.20517640025572587,0.20057173761879007,0.09132349532565866,0.3348301649093628,0.5294053554534912,0.019840286695947052,0.054636749562921146,0.0,0.03430425712740477,0.22760385274887085,0.6052963733673096,0.20057173761879007,0.0,0.20057173761879007
7,dance2_subject5,11565,0.15590142671854734,0.1474275832252486,0.027203820561575415,0.045888950155505974,0.0003458711629917856,0.03977518374405534,0.26505783200263977,0.8097376823425293,0.012478406527117894,0.01956565854962234,0.0,0.00959792477302205,0.11038368940353394,0.5886861681938171,0.1654978063964143,0.16586843851552707,0.01392131431041937,0.03415477734543882,0.29764068126678467,0.9168595671653748,0.06410512269909022,0.07318720458984582,0.0013834846519671423,0.013575443147427584,0.2830943465232849,0.9749703407287598,0.01392131431041937,0.0003458711629917856,0.013575443147427584
8,fallAndGetUp1_subject1,13957,0.19861001647918608,0.18306226266389625,0.0737451276880516,0.061402605318038546,0.09794368417281651,0.048721071863580996,0.5316988229751587,0.8021562695503235,0.03240878185385567,0.022741044056827028,0.03682739843805975,0.013040051587017267,0.4750747084617615,0.6032128930091858,0.11917254936753179,0.1322178868652287,0.0028659454037400587,0.039406749301425806,0.5804327726364136,0.5198690891265869,0.08761945595923284,0.08347601893382556,0.024145590026509994,0.017912158773375368,0.48651671409606934,0.6017022132873535,0.024145590026509994,0.09794368417281651,-0.07379809414630652
9,fallAndGetUp1_subject4,11210,0.41882247992863514,0.39232827832292594,0.05520346891118361,0.10254706932260031,0.004727921498661909,0.10053523639607494,0.4891142249107361,0.8446361422538757,0.02180969160645004,0.036456006029944775,0.004281891168599465,0.022747546833184657,0.42808017134666443,0.593360185623169,0.1925255036401919,0.15309185057240443,0.32212310437109726,0.09072256913470116,0.9312217831611633,0.9312217831611633,0.06767310268585433,0.09385156023659204,0.0048171275646743976,0.03755575379125781,1.0458688735961914,1.0458688735961914,0.32212310437109726,0.004727921498661909,0.31739518287243534
10,fallAndGetUp1_subject5,18918,0.15694047996616978,0.1380695633787927,0.05993122457034231,0.06972548525056964,0.017337984987842267,0.04017337984987842,0.48145025968551636,0.8219828605651855,0.022156322753317408,0.026726427371847522,5.28597103287874e-05,0.009620467279839307,0.27643123269081116,0.5981467962265015,0.14409592708934876,0.14526409556641615,0.021408182683158895,0.037847552595411775,0.928011417388916,0.9231193661689758,0.07976035780370556,0.08334231930498857,0.005761708425837827,0.017126546146527116,0.8595683574676514,1.0082577466964722,0.021408182683158895,0.017337984987842267,0.004070197695316628
11,fallAndGetUp2_subject2,16488,0.23125909752547308,0.2185832120329937,0.10498901481425217,0.08888646798937688,0.07314410480349345,0.056222707423580785,0.7261040806770325,0.808252215385437,0.03588303275996515,0.036818709535807126,0.000849102377486657,0.013888888888888888,0.3178555369377136,0.5960958003997803,0.17278316641955743,0.1714274782555477,0.02049975739932072,0.04754973313925279,0.6642898321151733,0.5474817752838135,0.07733546855711694,0.06572209177597498,0.07314410480349345,0.021348859776807377,0.635010838508606,0.5782779455184937,0.07314410480349345,0.07314410480349345,0.0
12,fallAndGetUp2_subject3,12614,0.3386713175836372,0.3289995243380371,0.12036709858121421,0.06909386203179098,0.14737593150467734,0.08347867448866339,0.8541315197944641,0.8389178514480591,0.05869417025205454,0.033208861680081476,0.05097510702394165,0.017995877596321548,0.6046727895736694,0.594154417514801,0.16279440239575088,0.1727157234283206,0.0023783098144918345,0.07230061836055177,0.7301329970359802,0.5735938549041748,0.1258088915982563,0.07365539030955884,0.22641509433962265,0.02917393372443317,0.48555612564086914,0.636077344417572,0.22641509433962265,0.14737593150467734,0.0790391628349453
