frame,motion_time_step,video_time_s,root_x,root_y,root_z,joint_abs_mean,contact_count_after_forward
0,418177,0.0,0.0,0.0,0.05123699828982353,0.6123208113271614,7
1,418178,0.03333333333333333,0.00030118227005004883,-0.0009217262268066406,0.0516510009765625,0.6161879826465557,7
2,418179,0.06666666666666667,0.0006003975868225098,-0.0018072128295898438,0.052117399871349335,0.620891177834108,7
3,418180,0.1,0.0008985996246337891,-0.0026748180389404297,0.05260999873280525,0.6260123825792608,7
4,418181,0.13333333333333333,0.0012087821960449219,-0.0034711360931396484,0.05321719869971275,0.630560172914431,7
5,418182,0.16666666666666666,0.001508176326751709,-0.0042307376861572266,0.05381060019135475,0.6346913478497801,7
6,418183,0.2,0.0017859935760498047,-0.004917144775390625,0.054376401007175446,0.6379892738728687,7
7,418184,0.23333333333333334,0.002132982015609741,-0.005466938018798828,0.05438140034675598,0.6400124415241438,7
8,418185,0.26666666666666666,0.002514570951461792,-0.005948781967163086,0.05410600081086159,0.641398207894687,7
9,418186,0.3,0.0031637847423553467,-0.006226539611816406,0.05283519998192787,0.6412365015210777,7
10,418187,0.3333333333333333,0.0038709938526153564,-0.0064542293548583984,0.05138780176639557,0.6411354473695673,7
11,418188,0.36666666666666664,0.004694193601608276,-0.006581544876098633,0.049587201327085495,0.6411557232254538,7
12,418189,0.4,0.005578577518463135,-0.006627082824707031,0.048002999275922775,0.6412309187881905,9
13,418190,0.43333333333333335,0.006493598222732544,-0.0066318511962890625,0.04652699828147888,0.6424786875602501,11
14,418191,0.4666666666666667,0.00749439001083374,-0.006585597991943359,0.04608960077166557,0.6425785379933899,11
15,418192,0.5,0.008478373289108276,-0.00652766227722168,0.04587579891085625,0.6430049433276571,11
16,418193,0.5333333333333333,0.009428799152374268,-0.006446123123168945,0.04610919952392578,0.6425042024909936,11
17,418194,0.5666666666666667,0.010322391986846924,-0.006375551223754883,0.046448200941085815,0.6412792464814566,11
18,418195,0.6,0.011187583208084106,-0.006310939788818359,0.04684000089764595,0.6396922113309647,11
19,418196,0.6333333333333333,0.011975973844528198,-0.006340742111206055,0.04712500050663948,0.6375574315576975,11
20,418197,0.6666666666666666,0.01270759105682373,-0.006392955780029297,0.04738239943981171,0.6353497079027624,11
21,418198,0.7,0.01332557201385498,-0.006488800048828125,0.04758460074663162,0.6332583491417483,11
22,418199,0.7333333333333333,0.013807177543640137,-0.006627559661865234,0.04772479832172394,0.631401556744722,11
23,418200,0.7666666666666667,0.014220595359802246,-0.006787776947021484,0.04783400148153305,0.6296299993008343,11
24,418201,0.8,0.014381378889083862,-0.006990671157836914,0.04792160168290138,0.6280163111293624,11
25,418202,0.8333333333333334,0.01447439193725586,-0.007210969924926758,0.04801519960165024,0.6263883443356588,11
26,418203,0.8666666666666667,0.014431774616241455,-0.007465839385986328,0.04812080040574074,0.6247318209116829,11
27,418204,0.9,0.014339596033096313,-0.007750749588012695,0.048248399049043655,0.6231294763916783,11
28,418205,0.9333333333333333,0.014222592115402222,-0.008050918579101562,0.04838699847459793,0.6217502093279799,11
29,418206,0.9666666666666667,0.014091789722442627,-0.008365154266357422,0.04856700077652931,0.6209223538572932,11
30,418207,1.0,0.013975381851196289,-0.00867772102355957,0.048752401024103165,0.6200954191515158,10
31,418208,1.0333333333333334,0.013887792825698853,-0.00898599624633789,0.04894860088825226,0.6192703064980691,10
32,418209,1.0666666666666667,0.013861387968063354,-0.009272575378417969,0.049120400100946426,0.618359564707197,10
