subset	window_count	baseline_loss	overfit_loss	loss_reduction_ratio
all_paper_state_windows	84	0.06703983482819055	1.830447187210791e-18	1.0
motion:walk1_subject1_frames_1_180_state_fixture	28	0.06613485608030795	1.790753058213913e-18	1.0
motion:run2_subject1_frames_1_180_state_fixture	28	0.06930616679143453	1.8294355170975568e-18	1.0
motion:jumps1_subject1_frames_1_180_state_fixture	28	0.06567848161282917	1.8711529863209034e-18	1.0
