split	sample_count	action_mse	action_abs_error_mean	latent_mu_abs_mean	kl_mean
test	122471	0.00019815583800664172	0.010908454074524343	0.2560831494629383	0.2094043754041195
train	979763	0.00019605412793074115	0.010884847460935513	0.25624036937952044	0.20947364916404088
validation	122470	0.00019741396863537375	0.010902527254074812	0.2567601762712002	0.20982895977795124
