action_dim,mean_abs_action,rms_action,max_abs_action
0,0.5303084663483121,0.7534040169167364,5.215802192687988
1,0.6416285383981348,0.8847028109108761,5.443778038024902
2,0.5670309936008,0.7802641872361781,4.925607681274414
3,0.5924611924529428,0.8192038199485818,4.447257995605469
4,0.5818416163534876,0.7936911460522273,5.846453666687012
5,0.7050415677595966,0.9391148239565356,5.725823879241943
6,0.5679476555019589,0.8166375864755219,5.129992485046387
7,0.5058286255273691,0.7264747569896185,5.538036346435547
8,0.592382870771421,0.8798224961098795,7.158705711364746
9,0.4603684400649354,0.641634450686759,4.413328170776367
10,0.512952408415986,0.7048484221362057,5.196731090545654
11,0.5443534564153598,0.7904602699122859,5.541248321533203
12,0.5587288785074822,0.7821895047821161,5.086108207702637
13,0.4820210722321,0.6792684125186335,4.743578910827637
14,0.6554346075156666,0.9093401957604246,6.132317066192627
15,0.4997183920289668,0.7108095393928777,4.381279468536377
16,0.6173300749872831,0.8305950500794202,5.1773295402526855
17,0.4540248162624765,0.5775617741297092,2.9357643127441406
18,0.526658195778199,0.6426120816856439,3.5209007263183594
19,0.5465655751964613,0.7778333610026252,5.258942604064941
20,0.48582432666775166,0.6829743118319622,4.571149826049805
21,0.5130478380525441,0.7080905871406089,4.49739933013916
22,0.6147600210246992,0.8453241585528452,5.450611114501953
23,0.4673091139622228,0.6705361658649831,6.008258819580078
24,0.5411215841536964,0.7775678400173068,4.705544471740723
25,0.642208280857293,0.9127601855647541,5.5555806159973145
26,0.543649844620446,0.7593275253750984,4.670802593231201
27,0.5051836468885578,0.7391077020541772,4.618114948272705
28,0.48355806889033626,0.697178965110751,5.680981636047363
