stage,split,sample_count,action_mse,action_abs_error_mean,kl_mean,pred_token_mse,noisy_token_mse,denoising_improvement_ratio
vae,test,30618,5.362209958548192e-05,0.005292208399623632,0.08206039294600487,,,
vae,train,244940,5.064014258095995e-05,0.005241518995414178,0.08128408143917719,,,
vae,validation,30618,5.287555723043624e-05,0.005275788251310587,0.08148843422532082,,,
diffusion,test,28569,,,,0.013647833040782384,0.06729835644364357,0.7972040661615378
diffusion,validation,28570,,,,0.013656057683484895,0.06731243059039116,0.7971242820425757
