variant,step,reward,done,action_abs_mean,target_body_error_mean,teacher_vae_mse,denoised_teacher_mse,guided_teacher_mse,guided_base_mse,guidance_cost_before,guidance_cost_after
teacher,0,0.010727637447416782,1,0.0425938218832016,0.35094398260116577,4.576062929118052e-05,4.5934586523799226e-05,4.593468111124821e-05,1.0845737108411413e-07,0.1000434085726738,0.09994975477457047
teacher,1,0.0013468791730701923,1,0.041975803673267365,0.3521561622619629,2.742264223343227e-05,2.794016654661391e-05,2.7940170184592716e-05,1.1773138020032548e-08,0.0637083426117897,0.06364823877811432
teacher,2,-0.003174767829477787,1,0.02209608256816864,0.355278342962265,2.08540750463726e-05,2.1491494408110157e-05,2.1491492589120753e-05,2.2203499483453015e-08,0.06904833763837814,0.06898346543312073
teacher,3,0.009868105873465538,1,0.035101085901260376,0.35021084547042847,3.2678726711310446e-05,3.2898373319767416e-05,3.289837695774622e-05,8.643914917172424e-09,0.0691298097372055,0.06906460225582123
teacher,4,0.02151811495423317,1,0.02530064806342125,0.33554214239120483,0.00018881075084209442,0.00019008322851732373,0.0001900832139654085,1.993647202880311e-08,0.0716448575258255,0.07157748937606812
teacher,5,0.021725043654441833,1,0.03536097705364227,0.3390806019306183,9.897985000861809e-05,9.974449494620785e-05,9.974450222216547e-05,2.0143431811447954e-07,0.04957100749015808,0.04952651634812355
teacher,6,0.033967167139053345,1,0.0349719263613224,0.32777518033981323,2.1930731236352585e-05,2.191518433392048e-05,2.191522071370855e-05,2.6211754544647192e-08,0.06518363207578659,0.06512235105037689
teacher,7,0.02567141316831112,1,0.03416638821363449,0.35881033539772034,6.871103687444702e-05,6.804938311688602e-05,6.804944860050455e-05,5.014925363866496e-08,0.0702809989452362,0.07021599262952805
teacher,8,0.00938347727060318,1,0.02211258001625538,0.33698633313179016,1.4173232557368465e-05,1.410622371622594e-05,1.4106239177635871e-05,5.75483882769845e-09,0.06840845197439194,0.06834393739700317
teacher,9,0.016676124185323715,1,0.04239379242062569,0.3566585183143616,7.166923023760319e-05,7.163339614635333e-05,7.163347618188709e-05,2.432688859244081e-07,0.08135958760976791,0.08128535747528076
teacher,10,0.010065794922411442,1,0.03046594373881817,0.3559912145137787,1.5792880731169134e-05,1.548957880004309e-05,1.548958789499011e-05,4.5398401482543704e-08,0.07348967343568802,0.07342058420181274
teacher,11,0.030598625540733337,1,0.02625073306262493,0.34319767355918884,1.4755590200365987e-05,1.4901010217727162e-05,1.4900996575306635e-05,1.285120543315088e-08,0.06817539781332016,0.0681111216545105
teacher,12,0.025652650743722916,1,0.040544599294662476,0.3249989449977875,4.292318772058934e-05,4.359850208857097e-05,4.3598520278465e-05,1.4308141338403857e-08,0.06855804473161697,0.0684933140873909
teacher,13,0.028035957366228104,1,0.027389271184802055,0.3352336883544922,2.8910160835948773e-05,2.9355785954976454e-05,2.935579323093407e-05,3.8363459964330104e-08,0.06445888429880142,0.06439858675003052
teacher,14,0.013752290047705173,1,0.0307988990098238,0.3410029411315918,3.186197500326671e-05,3.064257907681167e-05,3.0642575438832864e-05,7.444479876994592e-08,0.06646794825792313,0.06640616059303284
teacher,15,0.01754687912762165,1,0.04273392632603645,0.33618658781051636,2.5019751774379984e-05,2.460435098328162e-05,2.460435098328162e-05,1.0035381592388148e-07,0.05158758535981178,0.05154005438089371
teacher,16,-0.02521001547574997,1,0.05986018106341362,0.3352009654045105,7.165536226239055e-05,7.106125121936202e-05,7.106122211553156e-05,1.3463643711020268e-07,0.1523701548576355,0.15222804248332977
teacher,17,0.017653074115514755,1,0.04194732382893562,0.34744057059288025,0.00021604671201203018,0.00021743934485130012,0.0002174392866436392,3.0063779377087485e-07,0.06673602759838104,0.06667621433734894
teacher,18,0.0169077031314373,1,0.03203071653842926,0.35639795660972595,2.793606836348772e-05,2.827653406711761e-05,2.8276557713979855e-05,2.0400342748416733e-08,0.06758894771337509,0.06752552092075348
teacher,19,0.04067186638712883,1,0.03175731003284454,0.3336311876773834,2.867115290428046e-05,2.91860087600071e-05,2.91860087600071e-05,2.1188842680430753e-08,0.061149712651968,0.0610920675098896
teacher,20,0.01674877107143402,1,0.03154877945780754,0.34259435534477234,4.862102650804445e-05,4.935142715112306e-05,4.9351474444847554e-05,7.573938631821875e-08,0.051571257412433624,0.05152389034628868
teacher,21,0.03124294802546501,1,0.03487270325422287,0.3288159966468811,2.2485433873953298e-05,2.2560425350093283e-05,2.256039260828402e-05,2.419070099790588e-08,0.06142065301537514,0.061362724751234055
teacher,22,-0.020083419978618622,1,0.06201626732945442,0.35208097100257874,0.00017266097711399198,0.00017333035066258162,0.00017333052528556436,8.165749250110821e-07,0.07921052724123001,0.07914511114358902
teacher,23,0.041964296251535416,1,0.0357174426317215,0.35425490140914917,3.341981573612429e-05,3.345472941873595e-05,3.345476943650283e-05,4.727691571559944e-09,0.06512834131717682,0.06506693363189697
teacher,24,0.011851952411234379,1,0.0351557582616806,0.35747799277305603,4.169013845967129e-05,4.12768276873976e-05,4.127680222154595e-05,1.8253278000202044e-08,0.0675186961889267,0.06745528429746628
teacher,25,0.038314931094646454,1,0.03951329365372658,0.35530170798301697,0.00011769535194616765,0.00011789141717599705,0.00011789146810770035,1.7317510980774387e-08,0.06878530234098434,0.06872037798166275
teacher,26,0.024131663143634796,1,0.03694608807563782,0.35052281618118286,1.6540436263312586e-05,1.7187718185596168e-05,1.718772909953259e-05,2.6336998359965946e-08,0.06491946429014206,0.06485820561647415
teacher,27,0.02634311467409134,1,0.034364912658929825,0.330200731754303,3.180032581440173e-05,3.2112220651470125e-05,3.2112209737533703e-05,7.98207722141342e-09,0.06568800657987595,0.0656261295080185
teacher,28,0.026695873588323593,1,0.023558327928185463,0.35639289021492004,5.569853965425864e-05,5.5302898545050994e-05,5.5302898545050994e-05,6.461733903506683e-08,0.08285555243492126,0.0827779546380043
teacher,29,0.03385963290929794,1,0.037847328931093216,0.35543879866600037,2.1696945623261854e-05,2.198365291405935e-05,2.198365291405935e-05,1.9138509443905605e-08,0.06831537187099457,0.06825091689825058
teacher,30,0.03907369077205658,1,0.017478058114647865,0.3554226756095886,2.675201540114358e-05,2.6603482183418237e-05,2.6603485821397044e-05,7.132732182668633e-09,0.06387166678905487,0.06381145864725113
teacher,31,0.042276691645383835,1,0.02215980924665928,0.35744091868400574,3.60805461241398e-05,3.639581336756237e-05,3.639580245362595e-05,6.053358703184131e-09,0.06448213011026382,0.06442128866910934
teacher,32,0.03128010034561157,1,0.0344494991004467,0.3534945845603943,5.379236608860083e-05,5.533817602554336e-05,5.5338146921712905e-05,6.45946371946593e-08,0.07670949399471283,0.0766388475894928
teacher,33,0.03226239234209061,1,0.040903378278017044,0.3292579650878906,2.9906763302278705e-05,2.9976690711919218e-05,2.9976679797982797e-05,4.773803574664726e-09,0.06655319035053253,0.06649032235145569
teacher,34,-0.012325740419328213,1,0.04181024059653282,0.3501456081867218,0.0001222986466018483,0.0001245244056917727,0.00012452431838028133,5.138202254784119e-07,0.05549406632781029,0.055445097386837006
teacher,35,0.038474708795547485,1,0.02871367707848549,0.3508684039115906,2.470152685418725e-05,2.4709112040000036e-05,2.4709115677978843e-05,2.564021439610542e-09,0.0671844631433487,0.06712110340595245
