frame,video_time_s,sim_time_s,root_x,root_y,root_z,root_roll,root_pitch,root_yaw,joint_target_abs_mean,joint_error_abs_mean,joint_error_abs_max,joint_velocity_abs_mean,ctrl_abs_mean,root_target_x,root_target_y,root_target_z,root_position_error_m,root_orientation_error_rad,contact_count,fall_proxy
0,0.0,0.2200000000000001,0.00872515522736438,-0.001373886424035478,0.7818526700856716,-0.00015075821809325742,0.02999863913650767,0.03802680316612731,0.30355899984916224,0.03802374378183872,0.3441541734218454,0.1641986096786374,0.30355899984916224,0.0,0.0,0.7965530157089233,0.016947442463876156,0.004092300518585409,8,False
1,0.03333333333333333,0.24000000000000013,0.009982841544338037,-0.0015861850904350762,0.781675099061901,-0.0001264921886295699,0.03075146835972919,0.038167068900269496,0.30667988915252015,0.04556419418266741,0.3719742502830381,0.17870846665216097,0.30667988915252015,0.0,0.0,0.7965502069893818,0.0177729090587589,0.004896430337149727,8,False
2,0.06666666666666667,0.2600000000000001,0.01121907252055644,-0.0018158005134900255,0.7815102652057682,-0.00015190384027169977,0.03184180542554279,0.03838140827076347,0.3096696552289076,0.05277906986414061,0.39775495102592595,0.198709739621055,0.3096696552289076,0.0,0.0,0.7965481398100311,0.018631573306160422,0.006202829351048007,8,False
3,0.1,0.28000000000000014,0.012432006714725021,-0.002062687611891826,0.7813517676955832,-0.0001677681328968586,0.03322630899549288,0.03864904882498311,0.3125247300993592,0.05871918589521931,0.4191559769036788,0.21407050612785022,0.3125247300993592,0.0,0.0,0.7965468343488358,0.019518156385103763,0.007447465789108298,8,False
4,0.13333333333333333,0.30000000000000016,0.013616033526289862,-0.0023108643875423877,0.7812091415473713,-0.0002530804606033601,0.03483467957164051,0.03892556409571402,0.31485530543803025,0.0625268306499151,0.43591913708298047,0.21572357318144927,0.31485530543803025,0.0,0.0,0.7965483779631107,0.02041660705195247,0.008105834198023944,8,False
5,0.16666666666666666,0.3200000000000002,0.014764205551886532,-0.0025586401215057174,0.7810761110249089,-0.0003563454038460702,0.036631280542012395,0.039196674791018585,0.31716773601299075,0.06541415168258972,0.44897259281078106,0.21279027275195095,0.31716773601299075,0.0,0.0,0.7965493338941732,0.021316586989903335,0.008456588165616404,8,False
6,0.2,0.3400000000000002,0.015869810098145865,-0.002800649994608117,0.7809519912465934,-0.00046250726642977757,0.03857621014357216,0.03945400076595593,0.3193585769640333,0.06744938639273466,0.4586183798009522,0.20530640951462092,0.3193585769640333,0.0,0.0,0.7965496108101843,0.022207987233593733,0.008521500010363217,8,False
7,0.23333333333333334,0.3600000000000002,0.01692752105875377,-0.0030318107792295986,0.7808371253037786,-0.0005664692400111832,0.040633659915966264,0.03969118410722186,0.3213747802261507,0.06876370639862614,0.4651842840404441,0.19512790712244582,0.3213747802261507,0.0,0.0,0.7965492332698507,0.02308055788940264,0.008352143341320294,8,False
8,0.26666666666666666,0.3800000000000002,0.017933384244026,-0.003248565611779785,0.780731809556887,-0.0006657606105860365,0.04276706653295194,0.03990566901624778,0.3232149857395848,0.0695164727055412,0.46909963252277076,0.1830172974295467,0.3232149857395848,0.0,0.0,0.7965482656568089,0.023925779657885327,0.007984609732119861,8,False
9,0.3,0.40000000000000024,0.0188845899289766,-0.003448859831620447,0.7806358063856915,-0.000757652867191813,0.04494097404343213,0.04009614493801837,0.32485938085729904,0.06974981438860617,0.47074717046189174,0.16921873252479833,0.32485938085729904,0.0,0.0,0.7965466437201723,0.024737032281125206,0.007459273351079064,8,False
10,0.3333333333333333,0.42000000000000026,0.01978009929484004,-0.0036317762703976246,0.7805487770293581,-0.0008421012289409664,0.047138152766787775,0.04026072287410055,0.32641337683438515,0.06973162023238584,0.470353364503836,0.1605589680229655,0.32641337683438515,0.0,0.0,0.7965454394142983,0.025510573002235557,0.006971524579065941,8,False
11,0.36666666666666664,0.4400000000000003,0.020619309898544,-0.0037974256272602833,0.7804703078618536,-0.0009193053447602663,0.049342469333824475,0.040399422867861016,0.32787824845175095,0.06949669336373958,0.4682740715452234,0.16183223084141016,0.32787824845175095,0.0,0.0,0.7965446110557607,0.02624315186810451,0.006590215683110461,8,False
12,0.4,0.4600000000000003,0.021402022487701015,-0.003946545258320197,0.7803999492631928,-0.0009889281729419201,0.051537831143330465,0.040513389336867524,0.3292400903182136,0.06905829708459887,0.46486363801451813,0.1626686072199718,0.3292400903182136,0.0,0.0,0.796544215461459,0.02693251372147858,0.006380688827703907,8,False
13,0.43333333333333335,0.4800000000000003,0.022128476763856778,-0.0040800775825692226,0.7803374084189852,-0.0010502432718719657,0.053705880542571756,0.040599853397843506,0.3304310565329867,0.06841606858866886,0.4602614684745272,0.16154013499940884,0.3304310565329867,0.0,0.0,0.7965443065277983,0.02757711983041071,0.006413894033557804,8,False
14,0.4666666666666667,0.5000000000000003,0.022799960426267037,-0.004198958496808818,0.7802822259697566,-0.00110404304267507,0.055842858260934505,0.04066209338571517,0.33157264229538763,0.06772930286140556,0.4548713442992838,0.159617384134938,0.33157264229538763,0.0,0.0,0.7965445643278432,0.028176374412082993,0.006752084235744896,8,False
15,0.5,0.5200000000000004,0.023418040930654496,-0.004304218230639056,0.7802339209497625,-0.0011510186204613732,0.057944552999601585,0.04070367179268877,0.3326636367719158,0.0670131391245863,0.4489758970551663,0.157155907212136,0.3326636367719158,0.0,0.0,0.796544999481575,0.028730544951150096,0.00735581079639323,8,False
16,0.5333333333333333,0.5400000000000004,0.02398479585227697,-0.004393333382082203,0.7801921354387974,-0.001190468187635695,0.059994468810262484,0.0407131695215723,0.33321507285182345,0.06621465756682059,0.43966282421759173,0.15084764976189352,0.33321507285182345,0.0,0.0,0.7965461358195689,0.02924034600172561,0.008197065419286222,8,False
17,0.5666666666666667,0.5600000000000004,0.02450349508413647,-0.004464794753089316,0.7801563486361848,-0.0012231355233871233,0.061992342062973896,0.04069549446068774,0.33372420637782735,0.06551725966510413,0.4307088826529326,0.14664088522070007,0.33372420637782735,0.0,0.0,0.7965470865733905,0.02970682451347833,0.009205453289446835,8,False
18,0.6,0.5800000000000004,0.024977209553348725,-0.004520272834904668,0.7801258474027946,-0.0012487512267603744,0.06393747357966294,0.04065677559870897,0.3342286469595431,0.0648637624964452,0.42269631465218804,0.1440653146978467,0.3342286469595431,0.0,0.0,0.7965477195242731,0.03013226166453578,0.010323563014203464,8,False
19,0.6333333333333333,0.6000000000000004,0.02540831168280209,-0.004564794046208308,0.7800997481437045,-0.00126526467810899,0.06582027429388079,0.040598368099981845,0.3347379651417225,0.06435657997096284,0.41691017659986773,0.1409757748968588,0.3347379651417225,0.0,0.0,0.7965474067658252,0.030518908174551232,0.011548144312327034,8,False
20,0.6666666666666666,0.6200000000000004,0.02579969584020161,-0.004603419323732118,0.7800772188936574,-0.0012721814449776383,0.06764018314019979,0.040524881917717866,0.3353140687625774,0.06415591375037343,0.41198934637918994,0.1377796051408271,0.3353140687625774,0.0,0.0,0.7965463580426766,0.03086998675362942,0.012825963217226831,8,False
21,0.7,0.6400000000000005,0.02615428964010545,-0.004639951196737593,0.7800575574899378,-0.001269560953439791,0.06939575403716215,0.04043908622382005,0.33582465945957574,0.0640022194161253,0.407885728394209,0.1345459243530663,0.33582465945957574,0.0,0.0,0.7965443800711685,0.031188427394389685,0.014141534195055885,8,False
22,0.7333333333333333,0.6600000000000005,0.026475195509867516,-0.004677020214200043,0.7800401539341091,-0.0012577132917028317,0.07108768190269775,0.040344489856327465,0.3366223035154932,0.0639526422236849,0.4045416392312533,0.1313381323539386,0.3366223035154932,0.0,0.0,0.7965416852509258,0.03147735055289236,0.015472464088142311,8,False
23,0.7666666666666667,0.6800000000000005,0.026765463863418056,-0.004716200574327031,0.7800245450046237,-0.001237746503645754,0.0727146217280581,0.04024149603255251,0.33740685656984326,0.06398845616936556,0.40172306433282645,0.12828492314251974,0.33740685656984326,0.0,0.0,0.7965382684047079,0.03173958578451512,0.01682599651052173,8,False
24,0.8,0.7000000000000005,0.02702798127897233,-0.004758451692012304,0.7800103160357682,-0.00121101668903461,0.07427275298641699,0.040127787959378,0.33808746205072204,0.0640623238001704,0.3993703464187317,0.12548350248363882,0.33808746205072204,0.0,0.0,0.7965338773079598,0.03197763556366432,0.01821221807259752,8,False
25,0.8333333333333334,0.7200000000000005,0.0272659689651427,-0.004804104159345648,0.7799971123312592,-0.0011791633701985539,0.07576547804729265,0.04000708848136231,0.33871405394081955,0.06416870563946597,0.3974695600103131,0.12278633272183553,0.33871405394081955,0.0,0.0,0.7965293802768988,0.03219471121996151,0.019586457204754885,8,False
26,0.8666666666666667,0.7400000000000005,0.02748249957976099,-0.004853021449955777,0.7799846495589475,-0.0011435019542442417,0.07719582472690703,0.039881877369713215,0.3392874370676692,0.06430628444704173,0.39598882388589884,0.12076317439796372,0.3392874370676692,0.0,0.0,0.7965247636382988,0.03239344813153,0.020946025053009274,8,False
27,0.9,0.7600000000000006,0.027680357487781693,-0.004904944002377157,0.7799726844892322,-0.001105487429836682,0.07856494580002829,0.039752721816775534,0.33978648895588615,0.06446755831960024,0.39486972010161825,0.11904505720705051,0.33978648895588615,0.0,0.0,0.7965199769472492,0.03257622853278005,0.02230124487178602,8,False
28,0.9333333333333333,0.7800000000000006,0.027862052633264363,-0.004959783496171841,0.7799609548539279,-0.0010667817230275785,0.07987344634648626,0.03962173063628958,0.34019600417054846,0.06469088861801897,0.3941504383618901,0.11782431305531231,0.34019600417054846,0.0,0.0,0.7965144946474275,0.032745011031646155,0.023652257285198947,8,False
29,0.9666666666666667,0.8000000000000006,0.028030118759265667,-0.005017323475706069,0.7799492500259403,-0.0010278925067413141,0.08112624333727415,0.039491679549657266,0.3405742518114287,0.06499223976036154,0.3937625637136144,0.11744076785133074,0.3405742518114287,0.0,0.0,0.7965087694155347,0.03290221756476727,0.024971089668858075,8,False
30,1.0,0.8200000000000006,0.028186830443794702,-0.005077184588916368,0.7799374242367051,-0.00098919988218656,0.08232755589187012,0.03936461105597853,0.3409205497025147,0.06537194349961153,0.39365694475182345,0.11702574126403574,0.3409205497025147,0.0,0.0,0.7965027959415801,0.03304981850429632,0.026260907553227093,8,False
31,1.0333333333333334,0.8400000000000006,0.02833370989577678,-0.005139389285858814,0.7799252885333562,-0.0009516405011116827,0.08347698296134026,0.03924085526672258,0.3411740238574305,0.06571675769362098,0.3939568518616774,0.11640779292112552,0.3411740238574305,0.0,0.0,0.7964971649620209,0.03318961798240735,0.02754974857214891,8,False
32,1.0666666666666667,0.8600000000000007,0.028472252905870004,-0.005203751597452454,0.7799128603264214,-0.0009148814736739244,0.084581115796926,0.03912373561711191,0.34138847985624604,0.06608310072575387,0.394483485999775,0.11570087797268797,0.34138847985624604,0.0,0.0,0.7964919279837661,0.03332291230836552,0.028782061327229262,8,False
33,1.1,0.8800000000000007,0.028603535248160426,-0.0052695914847193616,0.7799003300108821,-0.0008778985962018376,0.08564777460599074,0.03901744519046445,0.3415589757249463,0.06622468166410816,0.3951873987856871,0.1121658981990893,0.3415589757249463,0.0,0.0,0.7964872995304371,0.03345064174798275,0.02994097753700666,8,False
34,1.1333333333333333,0.9000000000000007,0.028727594694139578,-0.00533592997842224,0.7798882643822467,-0.0008384836582257469,0.08668766424772197,0.038930170068322785,0.3416125574680977,0.06571141222146008,0.39614231524826926,0.10181162603765857,0.3416125574680977,0.0,0.0,0.7964842221253698,0.03357318509179083,0.030973192090437564,8,False
35,1.1666666666666667,0.9200000000000007,0.028844199170616536,-0.005402212141518583,0.779876267124142,-0.0007978634062123847,0.08769845195083793,0.03885531044073925,0.3417258487347219,0.06553744985745537,0.3971478331079845,0.09494170163174386,0.3417258487347219,0.0,0.0,0.7964795948667888,0.033688632963457525,0.03204797684548294,8,False
36,1.2,0.9400000000000007,0.0289542658134919,-0.005468995607713042,0.7798635168117735,-0.0007599648303720726,0.08866977351543748,0.03877982038525137,0.34258353209921383,0.0660452123587795,0.39818062173400803,0.0953319519044242,0.34258353209921383,0.0,0.0,0.7964715247430355,0.03379692718124463,0.033248289147354254,8,False
37,1.2333333333333334,0.9600000000000007,0.029060176077088544,-0.005537297635027188,0.7798495761845098,-0.0007272697764188468,0.08959734970177773,0.038697173162721504,0.34377106552813236,0.0669262725871809,0.39919772066982895,0.0996291170207189,0.34377106552813236,0.0,0.0,0.7964611978732663,0.03390087937669622,0.0345100957617915,8,False
38,1.2666666666666666,0.9800000000000008,0.02916507768897148,-0.005607759368792952,0.7798346027062508,-0.0006985557756568168,0.09049256068355029,0.03861539283411462,0.3450414961970212,0.06786434608445126,0.4000866003256962,0.10454270049910833,0.3450414961970212,0.0,0.0,0.796451357664138,0.03400461855065651,0.03568721619248859,8,False
39,1.3,1.0000000000000007,0.02927159209884569,-0.005680389182654593,0.779819021168534,-0.0006704080161016285,0.0913749469831474,0.03854930778504141,0.346328717252641,0.06885715189331751,0.400763929279198,0.109658467709801,0.346328717252641,0.0,0.0,0.7964433666592451,0.03411106604147265,0.03670604003775997,8,False
40,1.3333333333333333,1.0200000000000002,0.0293804081303692,-0.00575451654591419,0.7798029399725848,-0.000641969607428004,0.09224652484308517,0.03849608257035041,0.3475980294277413,0.06982592174915936,0.4013472282436552,0.11408785746107952,0.3475980294277413,0.0,0.0,0.7964360614396416,0.03422038409938516,0.03771292019863458,8,False
41,1.3666666666666667,1.0399999999999998,0.029491869910635495,-0.005829369009796287,0.779786356428467,-0.0006135527298921947,0.09310905285729056,0.03845402693181275,0.3488497262185892,0.07073753212510099,0.4018259636740893,0.11794411876684961,0.3488497262185892,0.0,0.0,0.7964294056318916,0.034332782211230796,0.03870959488352467,8,False
42,1.4,1.0599999999999994,0.029606239548641413,-0.005904343931122335,0.779769423666293,-0.0005853041115346816,0.09396417381416144,0.038421819884485654,0.35007187098050985,0.07160973493291165,0.4022175321890351,0.12141010932610148,0.35007187098050985,0.0,0.0,0.7964238277522386,0.03444854002496527,0.03969609307580194,8,False
43,1.4333333333333333,1.079999999999999,0.02972357445804693,-0.005979057208182894,0.7797524346274552,-0.0005576061279239783,0.09481258629921416,0.03839100183901091,0.3512172813690148,0.0724397770895989,0.4024914460750668,0.12431202111157329,0.3512172813690148,0.0,0.0,0.7964199846465232,0.03456786933860358,0.04067849469882292,8,False
44,1.4666666666666666,1.0999999999999985,0.029843744921191954,-0.0060530795492672864,0.7797355092313111,-0.0005309936874552468,0.09565513953129016,0.038358818994831644,0.3523305075497528,0.07322137454202231,0.4026309313551868,0.12699634614616162,0.3523305075497528,0.0,0.0,0.7964168691422733,0.034690046016543186,0.04165624211524917,8,False
