split	motion_names	window_count	token_count	clean_full_action_mse	noisy_full_action_mse	predicted_full_action_mse	full_mse_reduction_vs_noisy	clean_current_action_mse	noisy_current_action_mse	predicted_current_action_mse	current_mse_reduction_vs_noisy
train	walk1_subject1_frames_1_180_state_fixture	28	588	1.7368675036551282e-08	0.06211964842994863	0.01146019777897191	0.8155141236529149	1.8188091704965646e-08	0.055789950067256795	0.010768048927838532	0.8069894503426287
validation	run2_subject1_frames_1_180_state_fixture	28	588	0.0002621999201644867	0.06619271384122699	0.011267543688377044	0.8297766773031257	0.0001372347553921812	0.06226982373715219	0.00911132119759807	0.8536799905511543
test	jumps1_subject1_frames_1_180_state_fixture	28	588	0.00020078198711467442	0.060463059336647196	0.003823876019275019	0.936756822079009	0.0001954611751697642	0.06969000966824629	0.0039371201747736865	0.9435052428100379
