task,row_count,completion_rate_299,guidance_signal_positive_rate,action_changed_rate,reward_improved_vs_denoised_rate,tracking_error_not_worse_vs_denoised_rate,local_proxy_pass_rate,reward_delta_vs_denoised_mean,error_delta_vs_denoised_mean,reward_delta_vs_vae_base_mean,error_delta_vs_vae_base_mean,guidance_cost_delta_mean,guided_base_action_mse_mean
composed,5,1.0,1.0,1.0,0.4,0.4,0.6,-0.0004270818680960894,1.3279914855957032e-05,-0.0004508087026846158,0.00010331273078918457,6.324915732428381e-05,7.828626829822669e-08
joystick,5,1.0,1.0,1.0,0.6,0.6,0.8,-0.00047548569841652925,-0.00019952058792114258,-0.0005179684674585336,0.00022792220115661622,6.663306525917755e-05,7.629453435835408e-08
obstacle_avoidance,5,1.0,1.0,1.0,0.6,0.8,0.8,1.9434842290388248e-05,-0.00023115277290344238,-0.0003353390615296402,0.00020436644554138183,3.1522746169846194e-07,7.436272467905557e-08
waypoint,5,1.0,1.0,1.0,0.2,0.2,0.4,-0.0004554953306203202,0.00045854449272155764,-0.0013973533870484112,-0.0005410492420196533,7.592937768901072e-06,8.045139071276608e-08
