phase	step	learning_rate	ema_decay	loss_before	loss_after	grad_norm
uninterrupted	0.0	1e-08	0.0	1.9502224922180176	1.9501062631607056	6.6872758865356445
uninterrupted	1.0	2e-08	0.4053964424986395	1.7797038555145264	1.7795637845993042	5.023876190185547
before_save	0.0	1e-08	0.0	1.9502224922180176	1.9501062631607056	6.6872758865356445
after_load_resume	1.0	2e-08	0.4053964424986395	1.7797038555145264	1.7795637845993042	5.023876190185547
