split	motion_names	window_count	sequence_length	action_dim	target_smoothness_penalty	clean_smoothness_penalty	noisy_smoothness_penalty	predicted_smoothness_penalty	predicted_smoothness_penalty_reduction_vs_noisy	target_action_rate_mean_norm_at_25hz	clean_action_rate_mean_norm_at_25hz	noisy_action_rate_mean_norm_at_25hz	predicted_action_rate_mean_norm_at_25hz	predicted_action_rate_reduction_vs_noisy	target_action_acceleration_mean_norm_at_25hz	clean_action_acceleration_mean_norm_at_25hz	noisy_action_acceleration_mean_norm_at_25hz	predicted_action_acceleration_mean_norm_at_25hz	predicted_action_acceleration_reduction_vs_noisy	predicted_vs_target_action_mse	noisy_vs_target_action_mse	clean_vs_target_action_mse
train	walk1_subject1_frames_1_180_state_fixture	28	21	29	5.045746821347118e-05	5.065062626962938e-05	0.3579037899213265	0.037875727605551496	0.8941734380240084	1.5119499493913857	1.5120335283920223	44.24268114733286	14.123094965207319	0.6807812140006637	16.80340524061855	16.823584425372925	1914.2470872976419	609.6780043307243	0.681505063595833	0.011460197791805758	0.06211964841058687	1.7368662180972235e-08
validation	run2_subject1_frames_1_180_state_fixture	28	21	29	6.589887313038503e-05	7.476746013781402e-05	0.37484403675422073	0.038083277980476095	0.8984023373821292	1.2611663584412272	1.3024964317928642	45.559856247601836	14.520518537468638	0.681286998392736	14.02385288794029	14.53592630880191	1966.6191025654784	620.1071585816564	0.6846836493285766	0.011267543684383333	0.06619271381554985	0.0002621999198339309
test	jumps1_subject1_frames_1_180_state_fixture	28	21	29	7.033117483686164e-05	7.219264718800604e-05	0.35006444888582	0.01579856790234264	0.9548695448720198	1.8573466038422914	1.879749140965525	43.71780627116577	9.46269689007263	0.7835505095708843	21.240702781695788	21.447078504854115	1895.049900348461	401.59270034038593	0.7880833110164851	0.0038238760195316544	0.06046305936949379	0.00020078198922705186
