relative_path	kind	category	size_bytes	sha256	paper_level	debug_only
res/level_c/resource_adjusted_tiny_diffusion_video_preview/tiny_diffusion_test_debug_preview_poster.png	png	debug_tiny_diffusion_preview	18013	f6be63b1005c3ca1927717e95397c8d696ff8034adaa1c4387a356503ae0a2fa	False	True
res/level_c/resource_adjusted_tiny_diffusion_video_preview/tiny_diffusion_validation_debug_preview_poster.png	png	debug_tiny_diffusion_preview	18131	06c304447658596a3da876738d963274c07542af79bf0f82e514c9e80634e7a1	False	True
res/released_figures/ablation_armature/ablation_armature_global.pdf	pdf	released_data_figure	12277	26325eeda0767f3b87bb79643f7155af74e97f105abe9c17aa12e6b2c8006559	True	False
res/released_figures/ablation_armature/ablation_armature_global.png	png	released_data_figure	90206	29ca93ca537bac7387abfa7e3ad7fe5e9f8996e4c8c540b147328d4a3792a825	True	False
res/released_figures/ablation_armature/ablation_armature_global.svg	svg	released_data_figure	34050	53f1f99c4aac1c10f953c4573cb362f4441750102ec5bc3b646c146601b14230	True	False
res/released_figures/ablation_armature/ablation_armature_local.pdf	pdf	released_data_figure	13846	2323e5d1623e02db4c69d39705fa48941d936ffaf32cfeb46e516b9ce8ffbc5b	True	False
res/released_figures/ablation_armature/ablation_armature_local.png	png	released_data_figure	108740	08524cae0e285081c1a5b4dd33ed1dc762eb89566d2807aa361ab03dc73c0a7b	True	False
res/released_figures/ablation_armature/ablation_armature_local.svg	svg	released_data_figure	42615	5b099795be2de8db982a74671baebee3b9812934ee9e283db51162173b62fa81	True	False
res/released_figures/ablation_latency/ablation_latency_global.pdf	pdf	released_data_figure	12404	a0b0df32cbd728cb38beaf16b7575e5ae62fe120376b53715d55d0ac70621d9b	True	False
res/released_figures/ablation_latency/ablation_latency_global.png	png	released_data_figure	66251	a6b06ba2c274a1890cbc5b5a722fe5d87b790bd7ad2cc8e8f305523a73eac637	True	False
res/released_figures/ablation_latency/ablation_latency_global.svg	svg	released_data_figure	30871	cf948fbc3c633a01ad675e0fa24e9a8be126e2a0c2dd0e14ffc848bea671ce74	True	False
res/released_figures/ablation_latency/ablation_latency_local.pdf	pdf	released_data_figure	13175	d14e2ec122164ace9797ed2b3ce8900c203ebeed6e9f98b7748920f27f1308c7	True	False
res/released_figures/ablation_latency/ablation_latency_local.png	png	released_data_figure	113504	0f5c293d7a5bf4a7dc06b9a3e49b3f55afb0334c4754d48dd4a984001f4bd87d	True	False
res/released_figures/ablation_latency/ablation_latency_local.svg	svg	released_data_figure	42211	fbc05529ac3ee7cb723765077457d07bcaaf7b814ee7f9dc52b9c7018afb58f5	True	False
res/released_figures/ablation_observation_history/ablation_observation_history_global.pdf	pdf	released_data_figure	14237	b34be12641bfeb30116ac5677c5ea48421373884d79aeeba402156ab02f13d91	True	False
res/released_figures/ablation_observation_history/ablation_observation_history_global.png	png	released_data_figure	84844	fb0591dcdcef490930a43aff5be9867f93ba77205c0ce84019c2dc7f6adbfff6	True	False
