split	window_count	token_count	noisy_tau_mse	pred_tau_mse	tau_mse_reduction_vs_noisy
train	3080	64680	0.0674719512462616	0.01091190055012703	0.8382750113406329
validation	660	13860	0.06697770953178406	0.008564675226807594	0.8721264837707946
test	660	13860	0.06693340092897415	0.008780686184763908	0.8688145819143201
