seed	projection_seed	run_id	summary_json	checkpoint	checkpoint_sha256	status	paper_architecture	paper_dataset	data_parallel	gpu_count	vae_epochs	diffusion_epochs	final_validation_decoded_action_mse	final_test_decoded_action_mse	final_validation_pred_tau_mse	final_test_pred_tau_mse	public_lafan1_motion_count	window_count	token_count	vae_parameter_count	diffusion_parameter_count	checkpoint_size_bytes	elapsed_seconds	cuda_peak_memory_mb
20260617	20260617	level_c_lafan1_paper_arch_vae_diffusion_static_000_20260617_203000	/mnt/infini-data/test/BeyondMimic/res/level_c/lafan1_paper_arch_vae_diffusion_training/lafan1_paper_arch_vae_diffusion_training.json	/mnt/infini-data/test/BeyondMimic/res/runs/level_c_lafan1_paper_arch_vae_diffusion_static_000_20260617_203000/checkpoint/lafan1_paper_arch_vae_diffusion.pt	e62aa14d72646ff27994fd2a18d747421d276660b662962634be045d28920aec	ok	True	False	True	8	24	1000	0.02712077833712101	0.032622650265693665	0.0076224529184401035	0.007946033962070942	40	2200	46200	6047354	19191023	302997114	148.18651772290468	868.31298828125
20260618	20260617	level_c_lafan1_paper_arch_vae_diffusion_seed_20260618_static_000_20260617_203000	/mnt/infini-data/test/BeyondMimic/res/level_c/lafan1_paper_arch_vae_diffusion_training_seed_20260618/lafan1_paper_arch_vae_diffusion_training.json	/mnt/infini-data/test/BeyondMimic/res/runs/level_c_lafan1_paper_arch_vae_diffusion_seed_20260618_static_000_20260617_203000/checkpoint/lafan1_paper_arch_vae_diffusion.pt	d00a1ace9903c348bfd4ba5dc1f9e213aa44384a7a1daa2b058a9e975762d866	ok	True	False	True	8	24	1000	0.03171243146061897	0.03800620883703232	0.00779705448076129	0.008011135272681713	40	2200	46200	6047354	19191023	302997178	148.33946315571666	868.31298828125
20260619	20260617	level_c_lafan1_paper_arch_vae_diffusion_seed_20260619_static_000_20260617_203000	/mnt/infini-data/test/BeyondMimic/res/level_c/lafan1_paper_arch_vae_diffusion_training_seed_20260619/lafan1_paper_arch_vae_diffusion_training.json	/mnt/infini-data/test/BeyondMimic/res/runs/level_c_lafan1_paper_arch_vae_diffusion_seed_20260619_static_000_20260617_203000/checkpoint/lafan1_paper_arch_vae_diffusion.pt	b68f5ecc093d5fefc075e57f0e9a5cb810b9175fa34d06d08d35f09c8ee74389	ok	True	False	True	8	24	1000	0.027189940214157104	0.03285764530301094	0.008891399949789047	0.009039249271154404	40	2200	46200	6047354	19191023	302997178	154.67890293896198	868.31298828125
