window	passed	recommended_for_report	diagnostic_only	status	source_start_time_s	source_end_time_s	frames_rendered	root_z_range	max_joint_step	control_fall_proxy_count	control_joint_error_abs_mean	control_root_height_min	control_root_height_max	control_stability_class	severe_numeric_instability	replay_mp4_path	control_mp4_path	issues
high_dynamic_52s_67s	True	False	True	ok	52.0	67.0	450	0.356271	0.44177999999999984	32	38.81746138920016	-6236.267844232947	4326.408888211555	diagnostic_failed_reference_action_control	True	/mnt/infini-data/test/BeyondMimic/res/visualization/lafan1_jumps1_subject1_mujoco/high_dynamic_52s_67s/original_csv_reference_replay/original_csv_reference_replay.mp4	/mnt/infini-data/test/BeyondMimic/res/visualization/lafan1_jumps1_subject1_mujoco/high_dynamic_52s_67s/reference_action_control/reference_action_control.mp4	none
stable_dynamic_164s_179s	True	True	False	ok	164.0	179.0	450	0.17724000000000006	0.2918259999999999	0	0.15169067932206695	0.6728430467860832	0.749000123260982	stable_reference_action_control	False	/mnt/infini-data/test/BeyondMimic/res/visualization/lafan1_jumps1_subject1_mujoco/stable_dynamic_164s_179s/original_csv_reference_replay/original_csv_reference_replay.mp4	/mnt/infini-data/test/BeyondMimic/res/visualization/lafan1_jumps1_subject1_mujoco/stable_dynamic_164s_179s/reference_action_control/reference_action_control.mp4	none
