split	window_count	token_count	noisy_tau_mse	pred_tau_mse	tau_mse_reduction_vs_noisy
train	1540	32340	0.06751988083124161	0.009963949210941792	0.8524294017069496
validation	330	6930	0.06628603488206863	0.0076224529184401035	0.8850066543880408
test	330	6930	0.06699325889348984	0.007946033962070942	0.8813905444620324
