split	window_count	token_count	decoded_action_mse	teacher_action_mse	decoded_action_max_abs_error	kl_mean	latent_abs_mean	latent_std
train	32340	32340	0.03269533812999725	0.07933453470468521	1.2894699573516846	0.5624513626098633	0.506274938583374	0.6689488291740417
validation	6930	6930	0.02712077833712101	0.056381985545158386	1.2142751216888428	0.4725886881351471	0.4408242106437683	0.5675188302993774
test	6930	6930	0.032622650265693665	0.06705649197101593	1.0451619625091553	0.5659266114234924	0.4593886435031891	0.5950000286102295
