action_abs_mean,dones,frame,guidance_cost_after,guidance_cost_before,ik_error_max_m,ik_error_mean_m,pelvis_error_m,rewards,root_x,root_y,root_z,target_body_error_mean,time_s,torso_error_m,trace_reference_error_max_m,trace_reference_error_mean_m
0.027093715965747833,1.0,0,0.09043847024440765,0.09051163494586945,0.398059430320828,0.14220017804269544,0.0,0.030780456960201263,-0.01703019253909588,-0.04623609781265259,0.7943203449249268,0.342862069606781,0.0,0.006819185756535774,0.782007412099591,0.34286207988207645
0.020049842949832204,1.0,1,0.08425014407969264,0.08431665785195833,0.36423872658539513,0.12465609977678294,0.0,0.022529544138695987,0.034651835583863914,0.011082969854828505,0.7663764337654368,0.32762207605259985,0.03333333333333333,0.0027718244712130924,0.7703122348519483,0.31510658978502415
0.0217975923803973,1.0,2,0.08360938985058353,0.0836744532320972,0.37174030188944923,0.13473079778605007,0.0,0.018192924393179155,0.06425589795964863,0.027202011918844055,0.7584202115679106,0.32456620253274066,0.06666666666666667,0.00443577611578009,0.7775874637373781,0.3176998223271485
0.03257619207911608,1.0,3,0.08866716189546416,0.08873611693592008,0.37486345152003286,0.1229075457134631,0.0,0.017877109099868147,0.07118123361554603,0.0009999392473269628,0.7709955610251904,0.33402598972840936,0.1,0.005320386831800066,0.7774992652235722,0.33379852318196923
0.025482541352576826,1.0,4,0.08188168334469763,0.08194179213989551,0.41215242384169576,0.1313208578076275,0.0,0.020393348002354126,0.018305386219563617,-0.0103710875078986,0.785466794580022,0.3392363418316788,0.13333333333333333,0.006823178951829466,0.7755300498987477,0.33463540841290623
0.02291969529338563,1.0,5,0.07893382261749897,0.0789915346322718,0.43423884898484505,0.12329325315693371,0.0,0.021722437220652546,-0.020376041929812107,-0.024474269447055854,0.7926960410944338,0.34011159913577055,0.16666666666666666,0.005327631670215449,0.7716641289374552,0.3337371259206144
0.02553142617997985,1.0,6,0.08032027185626975,0.08038276561716351,0.42290992910391445,0.11024570879815819,0.0,0.021722991052674823,-0.04279001328455312,-0.041757594105395535,0.7920476224746364,0.3363506445507695,0.2,0.0024117205811206906,0.7747063111896659,0.33582892284428373
0.02827971828541405,1.0,7,0.08601288022867555,0.08608112779584919,0.42732572525758494,0.11910656254503801,0.0,0.031678973591340934,-0.031076464685870712,-0.0034935226651502047,0.7930922824184188,0.3469085788275457,0.23333333333333334,0.0032011501169115298,0.7722270616903837,0.34279315240695757
0.03276842764531052,1.0,8,0.08789481491447823,0.08796111162428336,0.49423848500118317,0.14121293973876875,0.0,0.027545870841794003,-0.0017499776187877673,0.003698998298869372,0.7963399556538044,0.35355857054481,0.26666666666666666,0.00244299656527659,0.7729382516465756,0.352101453623842
0.03924366475844171,1.0,9,0.08528189477251473,0.0853373967028142,0.549495275901795,0.15984955954185429,0.0,0.0069823283017644185,0.046646774578466166,-0.02640358071965071,0.8020541966625205,0.3552864868948879,0.3,0.0023607351159714183,0.7910158071571307,0.35511037670245094
0.028529967141974477,1.0,10,0.08959305538632026,0.08965640405570478,0.5105439267611983,0.14623579161694417,0.0,0.01726489067533964,0.004454052768531523,-0.042631452571277095,0.7837427853210466,0.34818396144826586,0.3333333333333333,0.0035536210651650017,0.763364599197825,0.34348590377840454
0.02615043318484036,1.0,11,0.08857702183431401,0.08864271129690991,0.4566325942065525,0.130770107105306,0.0,0.02709557070398914,-0.020336109605557668,-0.0571900078475077,0.7811008800642527,0.344628353957875,0.36666666666666664,0.0024911014308866687,0.7803525089818363,0.33684824180026535
0.034704429344305204,1.0,12,0.0807781175343125,0.08083855548255428,0.39781527954913093,0.135947753360263,0.0,0.03481796706605594,-0.01952498923066199,-0.0704359168431541,0.7985956028999889,0.3458026756422557,0.4,0.00638405654109074,0.7825974826029383,0.34466214094652514
0.024464878396759582,1.0,13,0.08731524367507688,0.08738210060548676,0.3524811593697153,0.14045339313691807,0.0,0.029241350659880712,0.3046723317213872,-0.10966264167779805,0.7495950747173453,0.3384695890751607,0.43333333333333335,0.004980147931801391,0.7417411727376253,0.3232411535226983
0.019757844524287964,1.0,14,0.10612844206177045,0.10620401481079364,0.37378859769851686,0.14075867606999576,0.0,0.01889405782253613,0.47340228901408565,-0.2242233317121365,0.7319917980174976,0.3340880071001754,0.4666666666666667,0.0031260921722192367,0.7544457659364437,0.32054061328611544
