split	window_count	token_count	noisy_tau_mse	pred_tau_mse	tau_mse_reduction_vs_noisy
train	3080	64680	0.06698485463857651	0.010570122860372066	0.8422013018106224
validation	660	13860	0.06667139381170273	0.008320493623614311	0.8752014447588491
test	660	13860	0.0678141638636589	0.008625948801636696	0.872800189367825
