task,seed_group,seed,summary_json,trace_npz,mp4,trace_npz_exists,mp4_exists,rollout_steps,completed_299,root_final_xy_error_m,root_mean_xy_error_m,target_body_error_mean,target_body_error_p95,target_body_error_max,reward_mean,denoised_reward_mean,reward_delta_vs_denoised,tracking_error_delta_vs_denoised,guidance_cost_delta_mean,guidance_signal_positive,min_root_height_m,min_reference_root_height_m,min_relative_root_height_m,max_abs_relative_root_height_m,done_flag_sum,fall_height_proxy,body_error_spike_anomaly_proxy,collision_contact_signal_available,collision_proxy_available,success_proxy,failure_reason,claim_level
obstacle_avoidance,seed_group_2,20260913,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/obstacle_avoidance/receding_latent_guidance_rollout_20260621_071253_seed20260913/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.003646958204509453,0.005916111184159329,0.3415643991435252,0.35713839828968047,0.3608667254447937,0.021549430694493363,0.02337294661698483,-0.0018235159224914664,-0.0009006922659666183,9.398695617216487e-07,True,0.632066547870636,0.6271368265151978,-0.0153120756149292,0.01854872703552246,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
composed,seed_group_2,20260914,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_2/composed/receding_latent_guidance_rollout_20260621_071522_seed20260914/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_2/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.005227640079423642,0.0058303548368151235,0.3450607314556339,0.35891116261482237,0.36240196228027344,0.023540223699474214,0.023811165243387222,-0.0002709415439130086,0.0001759718493075657,6.310472320952144e-05,True,0.22514721751213074,0.22620230913162231,-0.061279892921447754,0.061279892921447754,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
joystick,seed_group_3,20260921,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/joystick/receding_latent_guidance_rollout_20260621_071750_seed20260921/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.006890973057553131,0.005688883615941252,0.34336237434958133,0.358126625418663,0.4450787901878357,0.02294631136649827,0.02298258788288761,-3.627651638933929e-05,0.001371937651299282,6.982873514743155e-05,True,0.21115052700042725,0.2109956443309784,-0.24811959266662598,0.24811959266662598,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
waypoint,seed_group_3,20260922,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/waypoint/receding_latent_guidance_rollout_20260621_072019_seed20260922/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.0062530078659758116,0.005499072738603017,0.3445313957622617,0.3597254425287247,0.364121675491333,0.022336919463386007,0.02398755299674976,-0.0016506335333637545,-0.0002047917914629882,8.349945413627753e-06,True,0.5104495882987976,0.5083132982254028,-0.01463538408279419,0.0172385573387146,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
obstacle_avoidance,seed_group_3,20260923,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/obstacle_avoidance/receding_latent_guidance_rollout_20260621_072251_seed20260923/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.011238506078623306,0.0057191042325907306,0.3434344708520832,0.35787744224071505,0.3614121079444885,0.022616903781953166,0.02242174691810307,0.0001951568638500975,-0.0003306092227183255,9.223582054859021e-07,True,0.48711609840393066,0.47906678915023804,-0.01123732328414917,0.01426619291305542,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
composed,seed_group_3,20260924,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_3/composed/receding_latent_guidance_rollout_20260621_072526_seed20260924/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_3/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.00826071871910159,0.005746474235017876,0.3450976969007664,0.35868142247200013,0.3614502549171448,0.024115927125729096,0.024104184255371475,1.1742870357621393e-05,-0.00031272922471214937,6.488740543856669e-05,True,0.3063792288303375,0.28979912400245667,-0.015070796012878418,0.022538840770721436,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
joystick,seed_group_4,20260931,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/joystick/joystick_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/joystick/receding_latent_guidance_rollout_20260621_072803_seed20260931/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/joystick/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.006941766496613563,0.005452894256960451,0.34345787006078354,0.358559912443161,0.36072349548339844,0.02134917930460046,0.02199279177734585,-0.0006436124727453897,-0.0007743125775187543,6.799193030615714e-05,True,0.5966265797615051,0.5814284682273865,-0.01363980770111084,0.01682525873184204,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
waypoint,seed_group_4,20260932,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/waypoint/waypoint_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/waypoint/receding_latent_guidance_rollout_20260621_073036_seed20260932/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/waypoint/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.004777565418440573,0.005666867967178175,0.34421762235985953,0.35863416492938993,0.3631790280342102,0.02566090313076076,0.024470582057762404,0.001190321072998355,-0.0006227065687594013,8.054152380263926e-06,True,0.5556623339653015,0.557328999042511,-0.015976548194885254,0.015976548194885254,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
obstacle_avoidance,seed_group_4,20260933,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/obstacle_avoidance/obstacle_avoidance_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/obstacle_avoidance/receding_latent_guidance_rollout_20260621_073309_seed20260933/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/obstacle_avoidance/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.005399604761727164,0.00536525952826494,0.343402559143245,0.3571357935667038,0.36194321513175964,0.022895247924661757,0.02279674683317517,9.85010914865865e-05,-0.001421034435763413,9.155305831328683e-07,True,0.4974651038646698,0.49603894352912903,-0.013818860054016113,0.016383051872253418,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
composed,seed_group_4,20260934,res/level_c/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/composed/composed_task_conditioned_latent_guidance_rollout_eval.json,res/runs/tracking_g1_official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_eval/seed_group_4/composed/receding_latent_guidance_rollout_20260621_073545_seed20260934/official_csv_loop_receding_latent_guidance_rollout_trace.npz,res/visualization/official_importer_export_scaled_ppo_task_conditioned_latent_guidance_multiseed_rollout/seed_group_4/composed/official_csv_loop_task_conditioned_latent_guidance_rollout_vs_reference.mp4,True,True,299,True,0.007998693964030051,0.005440641884330361,0.344460141299959,0.358694452047348,0.3621264100074768,0.024092267423145547,0.02298855314647972,0.0011037142766658278,3.262845967522132e-05,6.385486460848397e-05,True,0.22119837999343872,0.21427372097969055,-0.02161353826522827,0.02161353826522827,299.0,False,False,False,False,True,,local_virtual_scaled_ppo_success_fall_collision_proxy_not_paper_level
