split	sample_index	gif_path	poster_path	frame_count	clean_vs_noisy_mse	clean_vs_pred_mse	pred_reduction_vs_noisy
validation	28	/mnt/infini-data/test/BeyondMimic/res/runs/level_c_resource_adjusted_tiny_diffusion_static_000_20260617_091500/videos/tiny_diffusion_validation_debug_preview.gif	/mnt/infini-data/test/BeyondMimic/res/level_c/resource_adjusted_tiny_diffusion_video_preview/tiny_diffusion_validation_debug_preview_poster.png	21	0.0790655230247486	0.004402129718253229	0.9443230177978422
test	0	/mnt/infini-data/test/BeyondMimic/res/runs/level_c_resource_adjusted_tiny_diffusion_static_000_20260617_091500/videos/tiny_diffusion_test_debug_preview.gif	/mnt/infini-data/test/BeyondMimic/res/level_c/resource_adjusted_tiny_diffusion_video_preview/tiny_diffusion_test_debug_preview_poster.png	21	0.053575515496471236	0.002229067405986748	0.9583939158525957
