timestamp,gpu_index,gpu_uuid,gpu_name,memory_used_mib,memory_total_mib,memory_free_mib,gpu_util_percent,power_draw_w,temperature_c,process_pid,run_id,run_status,sample_kind
2026-06-17T04:54:55+08:00,6,GPU-407bff7a-d6bf-a682-593a-c3a27e2408e2,NVIDIA GeForce RTX 4090 D,3988,24564,20124,0,63.54,43,2736897,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:54:55+08:00,7,GPU-1c9137e2-3d6e-0ba1-664c-e8d04187c9ce,NVIDIA GeForce RTX 4090 D,5,24564,24107,0,38.29,40,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:31+08:00,0,GPU-54901bd5-185b-1a8f-bdb9-b9b5834daeb7,NVIDIA GeForce RTX 4090 D,5,24564,24107,0,60.39,38,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:31+08:00,1,GPU-25bc18f2-30bd-da32-b37f-6703a7d9288b,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,50.7,35,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:31+08:00,2,GPU-f72a4d8e-5165-f40c-aee1-1dc9d76b1ad3,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,59.74,41,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:31+08:00,3,GPU-52ef1535-ff26-3866-b04c-ddfb884514f6,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,52.39,39,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:31+08:00,4,GPU-0e93c2fc-5c1f-bbac-668b-225a82cdbb2f,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,40.6,39,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:31+08:00,5,GPU-58895c0a-dd3c-5903-ad10-31bc84fb105f,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,46.3,39,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:31+08:00,6,GPU-407bff7a-d6bf-a682-593a-c3a27e2408e2,NVIDIA GeForce RTX 4090 D,3988,24564,20124,0,63.5,43,2736897,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:31+08:00,7,GPU-1c9137e2-3d6e-0ba1-664c-e8d04187c9ce,NVIDIA GeForce RTX 4090 D,5,24564,24107,0,38.38,39,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:32+08:00,0,GPU-54901bd5-185b-1a8f-bdb9-b9b5834daeb7,NVIDIA GeForce RTX 4090 D,5,24564,24107,0,59.25,38,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:32+08:00,1,GPU-25bc18f2-30bd-da32-b37f-6703a7d9288b,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,50.2,35,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:32+08:00,2,GPU-f72a4d8e-5165-f40c-aee1-1dc9d76b1ad3,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,59.54,41,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:32+08:00,3,GPU-52ef1535-ff26-3866-b04c-ddfb884514f6,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,51.94,39,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:32+08:00,4,GPU-0e93c2fc-5c1f-bbac-668b-225a82cdbb2f,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,39.57,39,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:32+08:00,5,GPU-58895c0a-dd3c-5903-ad10-31bc84fb105f,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,45.6,39,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:32+08:00,6,GPU-407bff7a-d6bf-a682-593a-c3a27e2408e2,NVIDIA GeForce RTX 4090 D,3988,24564,20124,0,62.57,43,2736897,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:32+08:00,7,GPU-1c9137e2-3d6e-0ba1-664c-e8d04187c9ce,NVIDIA GeForce RTX 4090 D,5,24564,24107,0,38.33,39,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:34+08:00,0,GPU-54901bd5-185b-1a8f-bdb9-b9b5834daeb7,NVIDIA GeForce RTX 4090 D,5,24564,24107,0,60.37,38,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:34+08:00,1,GPU-25bc18f2-30bd-da32-b37f-6703a7d9288b,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,48.39,35,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:34+08:00,2,GPU-f72a4d8e-5165-f40c-aee1-1dc9d76b1ad3,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,59.93,41,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:34+08:00,3,GPU-52ef1535-ff26-3866-b04c-ddfb884514f6,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,52.17,39,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:34+08:00,4,GPU-0e93c2fc-5c1f-bbac-668b-225a82cdbb2f,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,39.8,39,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:34+08:00,5,GPU-58895c0a-dd3c-5903-ad10-31bc84fb105f,NVIDIA GeForce RTX 4090 D,7,24564,24105,0,45.73,39,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:34+08:00,6,GPU-407bff7a-d6bf-a682-593a-c3a27e2408e2,NVIDIA GeForce RTX 4090 D,3988,24564,20124,0,63.5,43,2736897,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
2026-06-17T04:56:34+08:00,7,GPU-1c9137e2-3d6e-0ba1-664c-e8d04187c9ce,NVIDIA GeForce RTX 4090 D,5,24564,24107,0,38.84,39,,setup_gpu_resource_snapshot,INVALID,snapshot_no_training_load
