snapshot_index,source_index,minutes,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,class_22,class_23,class_24,class_25,class_26,class_27,class_28,class_29,class_30,class_31,class_32,class_33,class_34,class_35,class_36,class_37,class_38,class_39,class_40,class_41,class_42,class_43,class_44,class_45,class_46,class_47,class_48,class_49,class_50,class_51,class_52,class_53,class_54,class_55,class_56,class_57,class_58,class_59,class_60,class_61,class_62,class_63,class_64,class_65,class_66,class_67,class_68,class_69,class_70,class_71,class_72,class_73,class_74,class_75,class_76,class_77,class_78,class_79,class_80,class_81,class_82,class_83,class_84,class_85,class_86,class_87,class_88,class_89,class_90,class_91,class_92,class_93,class_94,class_95,class_96,class_97,class_98,class_99,class_100,class_101,class_102,class_103,class_104,class_105,class_106,class_107,class_108,class_109,class_110,class_111,class_112,class_113,class_114,class_115,class_116,class_117,class_118,class_119,class_120,class_121,class_122,class_123,class_124,class_125,class_126,class_127,class_128,class_129,class_130,class_131
0,0,0.0,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745,0.007575757801532745
1,5532,92.21666666666667,0.00017825896793510765,0.0003153452416881919,0.00020363842486403883,0.0003652541199699044,0.0004619807587005198,0.0005173084791749716,0.00018638811889104545,0.00032430808641947806,0.0006670623552054167,0.0008114767842926085,0.0006521207978948951,0.00025763720623217523,0.00036860155523754656,0.00026737002190202475,0.000588084920309484,0.0008516720845364034,0.00021264897077344358,0.00038930034497752786,0.0005627308273687959,0.0005066528683528304,0.0007989517180249095,0.0014506204752251506,0.0010754663962870836,0.0018601154442876577,0.004202375654131174,0.0019719896372407675,0.0009905194165185094,0.004555440973490477,0.002724287798628211,0.0014174770331010222,0.0011401759693399072,0.01993652433156967,0.0037482359912246466,0.001918319147080183,0.002355288714170456,0.007652484346181154,0.0018190637929365039,0.00045800619409419596,0.0007229385082609951,0.0009978709276765585,0.0006022172747179866,0.0010581151582300663,0.002885436173528433,0.0011899244273081422,0.0019292380893602967,0.00383346201851964,0.002096259966492653,0.0005991897196508944,0.0012432270450517535,0.0011952975764870644,0.0022326286416500807,0.0008864714181981981,0.0005730563425458968,0.0005776428733952343,0.0009227385162375867,0.0007921002106741071,0.0014105914160609245,0.00037303779390640557,0.0005081075360067189,0.0007710735662840307,0.0005855346098542213,0.00020092257182113826,0.0003669458092190325,0.0005898189847357571,0.0019473966676741838,0.0008304363000206649,0.0006189406267367303,0.0013287931215018034,0.0003201529907528311,0.0007395207067020237,0.0005788266425952315,0.0020513052586466074,0.04534536600112915,0.03239276632666588,0.009743287228047848,0.008808236569166183,0.009834817610681057,0.007749412674456835,0.004098571836948395,0.003967266529798508,0.003453821875154972,0.002499836729839444,0.0009403117001056671,0.001061008544638753,0.0022331704385578632,0.0012191501446068287,0.0017430890584364533,0.0012606634991243482,0.001751670497469604,0.0008809008868411183,0.0015006032772362232,0.0007152638281695545,0.0003806775785051286,0.0003627956029959023,0.0005493364296853542,0.000319340149872005,0.0008750656270422041,0.0007144238334149122,0.0015300180530175567,0.0016401686007156968,0.00030585710192099214,0.003290149150416255,0.007035441696643829,0.0021707003470510244,0.0015636435709893703,0.0022433327976614237,0.0004259608394932002,0.154035285115242,0.014716506004333496,0.008081178180873394,0.0030035495292395353,0.0009652638691477478,0.0008727695094421506,0.0017706305952742696,0.0024445392191410065,0.007147911004722118,0.43470537662506104,0.03042549267411232,0.00831026490777731,0.004522048402577639,0.0043378411792218685,0.0022026372607797384,0.0059761349111795425,0.005428515840321779,0.01046776119619608,0.011288375593721867,0.0067788464948534966,0.002870108699426055,0.0030602021142840385,0.002160407602787018,0.0005564704188145697,0.002943354658782482
2,11064,184.41666666666666,0.0002224292402388528,0.00022297816758509725,0.0003281143435742706,0.0005106906755827367,0.00022262291167862713,0.00023784738732501864,0.00022607222490478307,0.00029374859877862036,0.00023838019114919007,0.00023318696185015142,0.0002778306952677667,0.00023056940699461848,0.0003544726059772074,0.00031163249514065683,0.0006468372303061187,0.0004925220855511725,0.00023137827520258725,0.00022236688528209925,0.0002916833618655801,0.00039018422830849886,0.0005382546223700047,0.0009197642211802304,0.0006085213972255588,0.0005607112543657422,0.0011720034526661038,0.0008762480574660003,0.00039934326196089387,0.00254144542850554,0.0022412671241909266,0.0007364586926996708,0.0008882546680979431,0.00858641043305397,0.00277129840105772,0.0008043887792155147,0.00025736677343957126,0.007424958050251007,0.002466972218826413,0.0007479742052964866,0.0007000374607741833,0.0006211874424479902,0.0003784654545597732,0.0005559191922657192,0.0016786194173619151,0.002289710333570838,0.0019960214849561453,0.003497091820463538,0.003856342053040862,0.0017374365124851465,0.0045690047554671764,0.004068185109645128,0.002975985873490572,0.0009280882659368217,0.0005464329151436687,0.0009853262454271317,0.0004772038955707103,0.0009807448368519545,0.002124183811247349,0.0007316619157791138,0.00046493267291225493,0.0013147315476089716,0.0014840168878436089,0.00036917594843544066,0.0005696334410458803,0.0005910666077397764,0.002999755321070552,0.002396112773567438,0.0006418841076083481,0.0012136537116020918,0.0007825749344192445,0.001083267736248672,0.0007605825085192919,0.002243445720523596,0.022655753418803215,0.012142152525484562,0.003994479775428772,0.003244478488340974,0.004605208523571491,0.00439187977463007,0.0022973883897066116,0.0020418716594576836,0.0018723012180998921,0.0013697163667529821,0.0007690861821174622,0.00035610958002507687,0.0008959324331954122,0.0009127295343205333,0.0009446634212508798,0.0008822936797514558,0.0006149507826194167,0.0006540124886669219,0.0004839648026973009,0.0005515618249773979,0.000453984277555719,0.0007903014775365591,0.0006076711579225957,0.0003969831159338355,0.0008143334998749197,0.0007957616471685469,0.0018442462896928191,0.001693169237114489,0.00034929049434140325,0.004097110126167536,0.007984363473951817,0.0023243019822984934,0.0011569684138521552,0.0006616573082283139,0.0006433588569052517,0.17204859852790833,0.006274735555052757,0.005371668841689825,0.0019455892033874989,0.0012036357074975967,0.0008358503109775484,0.0018254758324474096,0.0020178190898150206,0.007994618266820908,0.5300809144973755,0.024497803300619125,0.007508682552725077,0.0032813483849167824,0.005051366053521633,0.001538516371510923,0.007532728835940361,0.0041629476472735405,0.008414793759584427,0.008920515887439251,0.00596031965687871,0.0036713287699967623,0.002251089783385396,0.0010366687783971429,0.0007210868061520159,0.0022181766107678413
3,16597,276.6333333333333,0.0004445900849532336,0.0006090887472964823,0.0006573736318387091,0.0010210354812443256,0.0002594510151538998,0.0004746801278088242,0.0002594092220533639,0.0002726874372456223,0.0002594092220533639,0.0002594094257801771,0.0004574232443701476,0.0002605588233564049,0.0002594092220533639,0.0004084875399712473,0.0005726194358430803,0.0007747218478471041,0.0003661510127130896,0.0002596018020994961,0.0003199827333446592,0.0002594092220533639,0.00026329027605243027,0.0016501961508765817,0.00037428506766445935,0.00029105410794727504,0.0011101334821432829,0.000906617206055671,0.00041709328070282936,0.0017719290917739272,0.001120802597142756,0.0008049178868532181,0.0007512111333198845,0.007406308781355619,0.0029754044953733683,0.0007365210331045091,0.0002852979814633727,0.003752452554181218,0.0013346093473955989,0.00026547396555542946,0.0006487233331426978,0.0006445965263992548,0.0008044457645155489,0.0012828694889321923,0.0011161994189023972,0.0006881041335873306,0.001678206492215395,0.0028910066466778517,0.0029826166573911905,0.0006937279831618071,0.0015001632273197174,0.002504114294424653,0.0020900408271700144,0.0008419881924055517,0.0007059131166897714,0.0006718467338941991,0.0008917729719541967,0.0006945501081645489,0.0008010847959667444,0.0014197679702192545,0.0011904966086149216,0.0011699910974130034,0.0008108282927423716,0.0006409649504348636,0.0007063393713906407,0.0015780683606863022,0.0024287141859531403,0.0017890599556267262,0.0005685349460691214,0.0009559463360346854,0.0010232110507786274,0.002250865800306201,0.0005055908695794642,0.0032202331349253654,0.012896734289824963,0.009241401217877865,0.0065684691071510315,0.003541824407875538,0.006013578735291958,0.003980871755629778,0.0030340992379933596,0.00166239682585001,0.001266240724362433,0.00128373212646693,0.0003384397423360497,0.0006958306767046452,0.0017647295026108623,0.0010794223053380847,0.0006083703483454883,0.0011319565819576383,0.0009070862433873117,0.0003076897992286831,0.00037389801582321525,0.000898716039955616,0.0008107799803838134,0.00029134185751900077,0.0005372840678319335,0.0002604176988825202,0.0005803208914585412,0.00026192684890702367,0.0007071844302117825,0.0006987240049056709,0.0002879489038605243,0.002275656908750534,0.0033977823331952095,0.001580750453285873,0.0004175197100266814,0.0015098163858056068,0.0010201173136010766,0.16430333256721497,0.004627103451639414,0.005278737284243107,0.0027540610171854496,0.000581472588237375,0.0007957816123962402,0.0010044437367469072,0.002061669947579503,0.00729374261572957,0.5856353044509888,0.017032606527209282,0.008838009089231491,0.0030870516784489155,0.004011266399174929,0.0019015662837773561,0.004630969371646643,0.002926511922851205,0.007633353117853403,0.007572277449071407,0.004146645776927471,0.003325343132019043,0.002615778474137187,0.0023751298431307077,0.0005937498062849045,0.003677274566143751
4,22129,368.8333333333333,0.0005053866188973188,0.0005066510057076812,0.000507181859575212,0.0005654477281495929,0.0006659704376943409,0.0005085322191007435,0.0005089130718261003,0.0005116664106026292,0.0005052906344644725,0.0005052906344644725,0.0006800714181736112,0.0005057216621935368,0.0005052906344644725,0.0005631564999930561,0.003489886876195669,0.00221636681817472,0.0005113619263283908,0.0005052906344644725,0.0006381639977917075,0.0011180606670677662,0.0008876085048541427,0.0021129497326910496,0.00175772444345057,0.0006695561460219324,0.005152639001607895,0.0029548362363129854,0.0011368925916031003,0.003188390051946044,0.004160960670560598,0.002520480426028371,0.0015291798627004027,0.04476602002978325,0.009494091384112835,0.007590672001242638,0.0010680865962058306,0.05634300783276558,0.012524298392236233,0.0007952342857606709,0.002982447389513254,0.002134916838258505,0.004590275697410107,0.011050972156226635,0.02133558876812458,0.0072314846329391,0.015940379351377487,0.02462446689605713,0.016267996281385422,0.005201313178986311,0.01157018169760704,0.006689197383821011,0.018274178728461266,0.009809908457100391,0.005103031173348427,0.003319565672427416,0.0011410971637815237,0.0028178414795547724,0.00306128547526896,0.0005187718197703362,0.0021983867045491934,0.002226977376267314,0.003031103638932109,0.0011316508753225207,0.0009968935046344995,0.00560210132971406,0.006433691363781691,0.006491366773843765,0.0022192704491317272,0.0048135132528841496,0.0010656040394678712,0.0010106210829690099,0.0017547158058732748,0.006201714277267456,0.04824472591280937,0.03545268997550011,0.017015457153320312,0.011931447312235832,0.02138642594218254,0.03260544687509537,0.01569310389459133,0.014594994485378265,0.01318949181586504,0.007223062217235565,0.00425722636282444,0.0036823609843850136,0.008879476226866245,0.00485327048227191,0.0019436576403677464,0.003051098668947816,0.004632452968508005,0.0026216201949864626,0.0025054358411580324,0.0026023073587566614,0.003582468954846263,0.0023025309201329947,0.0017961800331249833,0.002240303670987487,0.001573891961015761,0.000745992234442383,0.002097646938636899,0.0015532408142462373,0.0015225161332637072,0.010183803737163544,0.019566548988223076,0.008906228467822075,0.00540804211050272,0.007223614491522312,0.0037262721452862024,0.09166449308395386,0.011955010704696178,0.010781524702906609,0.0038952426984906197,0.0010367508511990309,0.00113873730879277,0.0018919892609119415,0.001589099527336657,0.007851219736039639,0.09675637632608414,0.013560418039560318,0.00395521754398942,0.001551471883431077,0.002834092127159238,0.0005967988399788737,0.001010287320241332,0.002275436883792281,0.005167991388589144,0.003638391150161624,0.0026373539585620165,0.0049355835653841496,0.002098402241244912,0.0014199039433151484,0.0013148579746484756,0.002129428321495652
5,27661,461.03333333333336,0.0009812049102038145,0.0009812049102038145,0.0015105817001312971,0.0015468752244487405,0.0009812051430344582,0.000982050085440278,0.0009812049102038145,0.0013536021579056978,0.001573577057570219,0.0009812054922804236,0.001758116064593196,0.0009813684737309813,0.0009812054922804236,0.0009839314734563231,0.003522623097524047,0.0026581219863146544,0.0010189111344516277,0.0009880129946395755,0.0019221564289182425,0.0009812057251110673,0.0010947189293801785,0.003006667597219348,0.0028267893940210342,0.0012170603731647134,0.009350028820335865,0.0057587348856031895,0.0009812391363084316,0.004172591958194971,0.0030708129052072763,0.0021539379376918077,0.004062214866280556,0.021923189982771873,0.011862452141940594,0.0034552307333797216,0.0023162532597780228,0.01253883820027113,0.006280743982642889,0.0023058168590068817,0.00460361922159791,0.0013800914166495204,0.0029725085478276014,0.004590675234794617,0.00856747105717659,0.0022646719589829445,0.006685641128569841,0.018769927322864532,0.017399409785866737,0.009847519919276237,0.006230033468455076,0.007057814858853817,0.009670860134065151,0.004317126236855984,0.005000667180866003,0.003193325363099575,0.001525436295196414,0.005883251782506704,0.008518533781170845,0.004294798243790865,0.0031944706570357084,0.00432047201320529,0.0036916290409862995,0.0029645622707903385,0.0029255917761474848,0.0045343865640461445,0.007494668941944838,0.011350980959832668,0.006485020741820335,0.01214116532355547,0.0032440703362226486,0.0035933905746787786,0.003386059310287237,0.006662227213382721,0.044055432081222534,0.03379490226507187,0.02410666085779667,0.013769300654530525,0.026356426998972893,0.030691415071487427,0.01424009446054697,0.013744719326496124,0.00558363227173686,0.0040914323180913925,0.0031797948759049177,0.005807920824736357,0.009459222666919231,0.005507945083081722,0.006398037541657686,0.011223632842302322,0.010465022176504135,0.0026764655485749245,0.004715435206890106,0.003625296987593174,0.002714406931772828,0.002877212595194578,0.003339692484587431,0.001968342112377286,0.0027260861825197935,0.0014313255669549108,0.0047295126132667065,0.004796140361577272,0.0011013437760993838,0.01949472166597843,0.024669570848345757,0.012363510206341743,0.002701121848076582,0.0061730206944048405,0.0038086881395429373,0.07339649647474289,0.014533739537000656,0.013689220882952213,0.0069360737688839436,0.0026702675968408585,0.0014190638903528452,0.0022675918880850077,0.002841761102899909,0.005515055265277624,0.0689040869474411,0.021549580618739128,0.010175266303122044,0.004799600224941969,0.004362623207271099,0.0028588753193616867,0.002456367714330554,0.003787923837080598,0.006179166492074728,0.008419566787779331,0.011834004893898964,0.0076567442156374454,0.008609838783740997,0.003678051056340337,0.0031011842656880617,0.005162648390978575
6,33194,553.25,0.0010876564774662256,0.0011201993329450488,0.0010876588057726622,0.0011154498206451535,0.0010918498737737536,0.001087656244635582,0.0011637548450380564,0.0011869885493069887,0.001087656244635582,0.001087656244635582,0.002450640546157956,0.0010914317099377513,0.001087656244635582,0.0011083234567195177,0.003930380567908287,0.0020968990866094828,0.0012718448415398598,0.00127065135166049,0.0030436557717621326,0.0010878941975533962,0.001358823268674314,0.004754272755235434,0.0019531085854396224,0.0010955372126773,0.0047972556203603745,0.007045377045869827,0.0013183691771700978,0.0016068427357822657,0.0029883424285799265,0.002105236751958728,0.0014972699573263526,0.028817975893616676,0.011689133010804653,0.004348311573266983,0.0021645023953169584,0.023608576506376266,0.012886722572147846,0.0013540457002818584,0.0023280461318790913,0.0015317016514018178,0.001202611019834876,0.002717793919146061,0.006627528928220272,0.002670754911378026,0.008859263733029366,0.01134135015308857,0.01519699115306139,0.005010609049350023,0.011824425309896469,0.007982335053384304,0.008557317778468132,0.005459990352392197,0.0032750454265624285,0.003581731114536524,0.0013766594929620624,0.008483681827783585,0.0037753621581941843,0.003216170473024249,0.0023552649654448032,0.0014543830184265971,0.003670344827696681,0.0033795437775552273,0.0014663198962807655,0.0034406387712806463,0.004563418682664633,0.005061626899987459,0.005062729585915804,0.005329851061105728,0.002308792434632778,0.0013975121546536684,0.003930998966097832,0.0036395080387592316,0.04751966521143913,0.02460588701069355,0.028575945645570755,0.01321900263428688,0.03385389223694801,0.03574281185865402,0.018607253208756447,0.01771373488008976,0.007185826543718576,0.006864980328828096,0.004059561528265476,0.005698613356798887,0.014324881136417389,0.007575738709419966,0.004713081289082766,0.0072673470713198185,0.010335751809179783,0.0034888526424765587,0.0044140261597931385,0.00480926688760519,0.008204079233109951,0.0010930459247902036,0.0033322020899504423,0.00109038595110178,0.0023392748553305864,0.0019127903506159782,0.003667710116133094,0.002217929344624281,0.002104077022522688,0.024278242141008377,0.029519451782107353,0.012643859721720219,0.004023570567369461,0.0060285534709692,0.002955104922875762,0.06485402584075928,0.01506126020103693,0.012470310553908348,0.004458221141248941,0.001088933669961989,0.0019766956102102995,0.006340848747640848,0.002714599249884486,0.009890933521091938,0.06476295739412308,0.02340071275830269,0.010797616094350815,0.00565949035808444,0.003575298236683011,0.0014352346770465374,0.0018225545063614845,0.002075044671073556,0.007401104550808668,0.015148291364312172,0.00894777663052082,0.004998199176043272,0.00581345334649086,0.0035942732356488705,0.0015150040853768587,0.0071848733350634575
7,38726,645.45,0.0013311549555510283,0.0019743347074836493,0.0018718241481110454,0.005258386023342609,0.0013361615128815174,0.0015168930403888226,0.0013311549555510283,0.0014782939106225967,0.0019404044141992927,0.0013311549555510283,0.002104372950270772,0.0014047403819859028,0.0013311549555510283,0.0023545334115624428,0.005550960544496775,0.0036098177079111338,0.0014581956202164292,0.001620334223844111,0.0020328557584434748,0.0013470362173393369,0.0025144682731479406,0.01028070505708456,0.004384204279631376,0.0013311549555510283,0.011453615501523018,0.009873482398688793,0.0016057717148214579,0.006257274653762579,0.00385781517252326,0.0031578298658132553,0.002070806920528412,0.0399969257414341,0.02528950572013855,0.0064604273065924644,0.001981202280148864,0.01221011858433485,0.0042201196774840355,0.0013884191866964102,0.0018151313997805119,0.0026486904826015234,0.002830693032592535,0.009232843294739723,0.007996621541678905,0.003934680949896574,0.013801531866192818,0.023882467299699783,0.007124610245227814,0.003955585416406393,0.007490682415664196,0.006260034628212452,0.006229161750525236,0.003392123384401202,0.0020481233950704336,0.002158891875296831,0.001640771166421473,0.004902098327875137,0.0032630704808980227,0.0015667368425056338,0.005725637078285217,0.002024324843659997,0.0028110984712839127,0.0019709470216184855,0.0020853125024586916,0.006512215826660395,0.00475739873945713,0.011464000679552555,0.005733679048717022,0.010596366599202156,0.001967420568689704,0.001347930170595646,0.0022092272993177176,0.004258696921169758,0.025771623477339745,0.012314659543335438,0.014557389542460442,0.01085967943072319,0.0184083990752697,0.01840350404381752,0.01102003175765276,0.009880198165774345,0.00697897095233202,0.006257274653762579,0.004510183818638325,0.006746652536094189,0.010908939875662327,0.0030398566741496325,0.0067299106158316135,0.007107342127710581,0.005109884776175022,0.0024228545371443033,0.005846500396728516,0.001711250632070005,0.002315764082595706,0.001455017481930554,0.0015087520005181432,0.0015038246056064963,0.003599646035581827,0.002365493681281805,0.006253688130527735,0.010251283645629883,0.0026073867920786142,0.029509494081139565,0.03539891913533211,0.019250625744462013,0.004387998953461647,0.010816226713359356,0.0026341192424297333,0.08255979418754578,0.017971618101000786,0.008470743894577026,0.008418943732976913,0.0017173488158732653,0.0015515565173700452,0.001823082915507257,0.0034826488699764013,0.008392127230763435,0.07312768697738647,0.03144464269280434,0.014874430373311043,0.00420336565002799,0.005479678511619568,0.0023657900746911764,0.0018969423836097121,0.001619614427909255,0.003978782333433628,0.011839781887829304,0.006623957306146622,0.0058531989343464375,0.0029893466271460056,0.0017250556265935302,0.0022664042189717293,0.0027237781323492527
8,44258,737.65,0.0014283166965469718,0.003292401786893606,0.0014298444148153067,0.001429165480658412,0.0014283162308856845,0.0014283162308856845,0.0014283162308856845,0.0014387849951162934,0.0014283255441114306,0.0014283162308856845,0.004083884414285421,0.0015914756804704666,0.001738760038278997,0.0014452857431024313,0.003958639223128557,0.006457840092480183,0.001900557428598404,0.0016062345821410418,0.0014349843841046095,0.0016390375094488263,0.001833172864280641,0.007827023044228554,0.0021102114114910364,0.0014283164637163281,0.003327379934489727,0.001737014390528202,0.00142831658013165,0.0020837809424847364,0.0036516953259706497,0.0015924726612865925,0.0026989243924617767,0.014029215089976788,0.0143559779971838,0.003077401779592037,0.001677130931057036,0.0190106388181448,0.007599779404699802,0.0033092559315264225,0.0020557455718517303,0.0027130688540637493,0.002711064415052533,0.007108933757990599,0.01132348645478487,0.0030449258629232645,0.00917776208370924,0.017897531390190125,0.013423562981188297,0.007146073970943689,0.008416577242314816,0.004433849826455116,0.005771095864474773,0.0023948070593178272,0.0017679986776784062,0.0015506076160818338,0.0016640520188957453,0.0016143039101734757,0.0015525477938354015,0.003507638582959771,0.002398401964455843,0.00391399534419179,0.001755934557877481,0.0034483519848436117,0.0014720725594088435,0.002852044766768813,0.004560054279863834,0.011476963758468628,0.0032218380365520716,0.007475411985069513,0.006114233285188675,0.002511965809389949,0.001553993672132492,0.0067795561626553535,0.034132711589336395,0.021024547517299652,0.015181233175098896,0.005073028616607189,0.027517348527908325,0.033950019627809525,0.011629030108451843,0.01737409457564354,0.005548205226659775,0.006924562621861696,0.008645019493997097,0.0038493915926665068,0.00844960194081068,0.0030577757861465216,0.008949780836701393,0.010790175758302212,0.007125163450837135,0.00608281372115016,0.005112013779580593,0.001996974926441908,0.0015349810710176826,0.001530969049781561,0.0016374160768464208,0.0014291491825133562,0.0027122271712869406,0.003344259923323989,0.002755868248641491,0.002947490196675062,0.0021345096174627542,0.018092893064022064,0.030074024572968483,0.007285131141543388,0.003966492135077715,0.005051496904343367,0.0017406893894076347,0.10602893680334091,0.013517680577933788,0.01631721295416355,0.007919528521597385,0.004884732887148857,0.002192785730585456,0.005251672118902206,0.005498332437127829,0.0036110221408307552,0.0776948630809784,0.03148191049695015,0.015656331554055214,0.0037120177876204252,0.005705120973289013,0.002069828798994422,0.005712630692869425,0.005153324455022812,0.005811830051243305,0.013606320135295391,0.009356684982776642,0.009255222044885159,0.006469688378274441,0.005185735411942005,0.003650837345048785,0.001999658066779375
9,49791,829.8666666666667,0.0017221730668097734,0.0016579673392698169,0.0018161727348342538,0.0015776031650602818,0.001577572664245963,0.001577572664245963,0.001577572664245963,0.0015775753417983651,0.0015949637163430452,0.0015775983920320868,0.0015976487193256617,0.001584271085448563,0.001577807473950088,0.0028598331846296787,0.009353001601994038,0.0075797708705067635,0.0016684916336089373,0.0018798508681356907,0.0028074157889932394,0.0015787144657224417,0.003279483877122402,0.008594569750130177,0.003350915852934122,0.001577572664245963,0.012761281803250313,0.005387530662119389,0.0016302155563607812,0.004275133833289146,0.004837970715016127,0.005402188282459974,0.0016846749931573868,0.007803581189364195,0.008101802319288254,0.003834401722997427,0.0016110100550577044,0.017953116446733475,0.008660201914608479,0.0015896832337602973,0.0019327542977407575,0.0015923443716019392,0.0023090194445103407,0.004240515176206827,0.012117701582610607,0.003263833001255989,0.008183087222278118,0.019077051430940628,0.01880369707942009,0.006048345007002354,0.012156861834228039,0.008494583889842033,0.005744509398937225,0.009012436494231224,0.0016084627714008093,0.004365541972219944,0.0029228460043668747,0.005114931613206863,0.008525933139026165,0.0016964131500571966,0.0031168516725301743,0.0030611311085522175,0.004090665373951197,0.0016181820537894964,0.00349950953386724,0.0029439169447869062,0.0055626071989536285,0.01176547259092331,0.0038437938783317804,0.004239754285663366,0.0025637694634497166,0.0016944202361628413,0.002625879133120179,0.0016182510880753398,0.02725604921579361,0.019978845492005348,0.013655854389071465,0.008867636322975159,0.011944365687668324,0.022164076566696167,0.012488868087530136,0.007195860613137484,0.006652445998042822,0.0036103553138673306,0.002865693997591734,0.005868096835911274,0.009679035283625126,0.005979263689368963,0.007422462105751038,0.014547489583492279,0.009370457381010056,0.002489933278411627,0.006775116082280874,0.0031026084907352924,0.004838230554014444,0.002296474063768983,0.003222293686121702,0.003540614154189825,0.001606543781235814,0.0017359433695673943,0.00590994069352746,0.004690852016210556,0.0015910500660538673,0.019895382225513458,0.027663253247737885,0.015079567208886147,0.0027224579825997353,0.00612647645175457,0.003230669070035219,0.08098477870225906,0.013267157599329948,0.0065308441407978535,0.008251635357737541,0.002555270679295063,0.0015799837419763207,0.0020614934619516134,0.004307491704821587,0.011120818555355072,0.07761423289775848,0.03640047460794449,0.014106245711445808,0.004830637015402317,0.007317434996366501,0.001893006730824709,0.0031477087177336216,0.003316490910947323,0.007196766324341297,0.01346118375658989,0.009743775241076946,0.011847865767776966,0.009357425384223461,0.006823504809290171,0.006090932060033083,0.00959464069455862
