checkpoint_label,component,mean_value,abs_mean_value,loaded_iteration,reward_mean,done_count_total,total_env_steps
best_iter_300,motion_body_lin_vel,0.0012694489340107876,0.0012694489340107876,300,0.023709370602034405,611487,612352
best_iter_300,motion_global_anchor_pos,0.0009562416902718361,0.0009562416902718361,300,0.023709370602034405,611487,612352
best_iter_300,motion_body_ang_vel,0.0007908181277614548,0.0007908181277614548,300,0.023709370602034405,611487,612352
best_iter_300,joint_limit,-0.0007667320581498777,0.0007667320581498777,300,0.023709370602034405,611487,612352
best_iter_300,undesired_contacts,-0.0004774171306734537,0.0004774171306734537,300,0.023709370602034405,611487,612352
best_iter_300,motion_body_pos,0.00030860228588209696,0.00030860228588209696,300,0.023709370602034405,611487,612352
best_iter_300,motion_global_anchor_ori,0.0003011535604353558,0.0003011535604353558,300,0.023709370602034405,611487,612352
best_iter_300,action_rate_l2,-9.074956899082302e-06,9.074956899082302e-06,300,0.023709370602034405,611487,612352
best_iter_300,motion_body_ori,1.2556034076748914e-06,1.2556034076748914e-06,300,0.023709370602034405,611487,612352
final_iter_999,motion_body_lin_vel,0.0012693901941099245,0.0012693901941099245,999,0.02423080788881683,611642,612352
final_iter_999,motion_global_anchor_pos,0.0009562198516918988,0.0009562198516918988,999,0.02423080788881683,611642,612352
final_iter_999,motion_body_ang_vel,0.0007960548150169361,0.0007960548150169361,999,0.02423080788881683,611642,612352
final_iter_999,joint_limit,-0.0007247572531534303,0.0007247572531534303,999,0.02423080788881683,611642,612352
final_iter_999,undesired_contacts,-0.00047299176622742794,0.00047299176622742794,999,0.02423080788881683,611642,612352
final_iter_999,motion_body_pos,0.0003083378706714546,0.0003083378706714546,999,0.02423080788881683,611642,612352
final_iter_999,motion_global_anchor_ori,0.00030429979031329295,0.00030429979031329295,999,0.02423080788881683,611642,612352
final_iter_999,action_rate_l2,-1.1980834928527903e-05,1.1980834928527903e-05,999,0.02423080788881683,611642,612352
final_iter_999,motion_body_ori,1.3056073007144878e-06,1.3056073007144878e-06,999,0.02423080788881683,611642,612352
