checkpoint_label,metric,mean_value,max_value,min_value,loaded_iteration
best_iter_300,error_anchor_ang_vel,1.1400240237098873,1.2250049114227295,1.0750713348388672,300
best_iter_300,error_anchor_lin_vel,0.44465738096364765,0.45964354276657104,0.4327612519264221,300
best_iter_300,error_anchor_pos,0.05962453046221797,0.06032605841755867,0.05903076007962227,300
best_iter_300,error_anchor_rot,0.4761133831878968,0.487099826335907,0.46490049362182617,300
best_iter_300,error_body_ang_vel,1.4231379945142613,1.5074881315231323,1.3662139177322388,300
best_iter_300,error_body_lin_vel,0.5246284366850071,0.5369483828544617,0.5137536525726318,300
best_iter_300,error_body_pos,0.714368397575557,43.29490661621094,0.54984450340271,300
best_iter_300,error_body_rot,1.3335700732808449,1.3651405572891235,1.0142003297805786,300
best_iter_300,error_joint_pos,0.9238607706034861,0.9569054841995239,0.9003526568412781,300
best_iter_300,error_joint_vel,0.030866585150174174,0.13102295994758606,0.0,300
best_iter_300,sampling_entropy,0.9922575234968128,1.0000001192092896,0.9887383580207825,300
best_iter_300,sampling_top1_bin,0.006270903385365787,0.6375000476837158,0.0,300
best_iter_300,sampling_top1_prob,0.008188466004167613,0.00997051503509283,0.004166666883975267,300
final_iter_999,error_anchor_ang_vel,1.161795569502789,1.2478047609329224,1.1055524349212646,999
final_iter_999,error_anchor_lin_vel,0.4462878803744364,0.45863497257232666,0.4355626106262207,999
final_iter_999,error_anchor_pos,0.05960297264333154,0.06049950420856476,0.05902707204222679,999
final_iter_999,error_anchor_rot,0.47111578699338397,0.486219584941864,0.45861566066741943,999
final_iter_999,error_body_ang_vel,1.4331648903945617,1.513676643371582,1.3625538349151611,999
final_iter_999,error_body_lin_vel,0.525068076358591,0.5365332365036011,0.5135406255722046,999
final_iter_999,error_body_pos,0.6893615395727763,43.29466247558594,0.5286977291107178,999
final_iter_999,error_body_rot,1.326060682634845,1.3465787172317505,1.000096082687378,999
final_iter_999,error_joint_pos,0.8996927592666651,0.9223811626434326,0.871211051940918,999
final_iter_999,error_joint_vel,0.02590215371541654,0.08749571442604065,0.0,999
final_iter_999,sampling_entropy,0.9913967602627732,1.0000001192092896,0.9892854690551758,999
final_iter_999,sampling_top1_bin,0.191067457940417,0.38333335518836975,0.0,999
final_iter_999,sampling_top1_prob,0.008368041254206246,0.00950496643781662,0.004166666883975267,999
