frame,video_time_s,sim_time_s,root_x,root_y,root_z,root_roll,root_pitch,root_yaw,joint_target_abs_mean,joint_error_abs_mean,joint_error_abs_max,joint_velocity_abs_mean,ctrl_abs_mean,root_target_z,root_position_error_m,root_orientation_error_rad,contact_count,fall_proxy
0,0.0,0.2200000000000001,0.01697914259267015,-0.0511155484360697,0.7352439739767557,-0.06418972757046945,0.040588132431361924,-1.3151007796454748,0.2298333277402337,0.04160541364893251,0.16298625369387093,0.15787990551822348,0.2298333277402337,0.7903743982315063,0.07506125504068813,0.09456115833656356,2,False
1,0.03333333333333333,0.24000000000000013,0.018299660275456042,-0.05789631810136053,0.7302793757082967,-0.0708211422342795,0.035567344155863934,-1.3124412323452272,0.32082265563403534,0.11392941362184997,0.5480469337631375,0.75432374336901,0.32082265563403534,0.7904356122016907,0.08355069805953341,0.10038233775589898,2,False
2,0.06666666666666667,0.2600000000000001,0.019236551598422247,-0.06474899272671439,0.7259024570120125,-0.07884928033624679,0.027078983831098195,-1.3091243551201777,0.3928602062069637,0.16938009522347228,0.8958793794860541,1.126492673298924,0.3928602062069637,0.7904580235481262,0.09192845001525735,0.10387618409058387,4,False
3,0.1,0.28000000000000014,0.02020409750257121,-0.07225365095831712,0.7224652547092052,-0.08196366477647886,0.02623819908357696,-1.3096873363319068,0.43319762393997296,0.19544297722909246,1.0062584293954204,1.3373921219616096,0.43319762393997296,0.790461003780365,0.10015401462330736,0.10890109643587834,1,False
4,0.13333333333333333,0.30000000000000016,0.021238070234910252,-0.07770552575892746,0.7182988786394164,-0.07741672851596479,0.026379322524802788,-1.31094350368979,0.44230589498115214,0.19236491988909343,0.9127670360940887,1.2341141369224853,0.44230589498115214,0.7904387712478638,0.1075702574903422,0.1051434145819803,1,False
5,0.16666666666666666,0.3200000000000002,0.022437759503540426,-0.08102746950247325,0.7136079994206237,-0.06803703349497638,0.03394940378489265,-1.314161947131348,0.4539562077376523,0.18933463258358366,1.0113763606663793,1.1792225620640142,0.4539562077376523,0.7904137969017029,0.11381443531502315,0.1008581798650286,0,False
6,0.2,0.3400000000000002,0.0237309593202181,-0.0816719267618728,0.7082932946813106,-0.056197207361788196,0.040827697371875825,-1.3138148927838498,0.4704489292819763,0.18776751489655166,1.3281311949391663,1.2642140184676995,0.4704489292819763,0.7903832197189331,0.11855525506981146,0.09288513790752223,2,False
7,0.23333333333333334,0.3600000000000002,0.025145007271734975,-0.07974219470208502,0.7016802149953403,-0.039868550209645436,0.047831470657285935,-1.3228616185514541,0.4710913052478266,0.17908601924277434,1.2744054422049267,1.3327390801124694,0.4710913052478266,0.7903445959091187,0.12229378126125624,0.08372794248890414,0,False
8,0.26666666666666666,0.3800000000000002,0.02762758279088485,-0.07700307668427671,0.6944517610316402,-0.03263036269394343,0.05454760105508671,-1.330560110955453,0.46425289127676883,0.1778689945639979,1.1654307307638192,1.3101354833017465,0.46425289127676883,0.7903019785881042,0.12586145528791895,0.07752098196910634,0,False
9,0.3,0.40000000000000024,0.029471321114172905,-0.07242461141485365,0.6851469884455388,-0.015167875840720624,0.05654802591871582,-1.3445799142613664,0.4456296090789744,0.19727371146951533,1.0512317660975543,1.544847010480254,0.4456296090789744,0.7902359962463379,0.1304184373025585,0.06693189741063378,0,False
