metric	base	symmetry_augmented	delta	relative_delta	lower_is_better_improved
final_validation_decoded_action_mse	0.02712077833712101	0.022088494151830673	-0.005032284185290337	-0.18555087625942138	True
final_test_decoded_action_mse	0.032622650265693665	0.026402728632092476	-0.006219921633601189	-0.19066267096460052	True
final_validation_pred_tau_mse	0.0076224529184401035	0.008564675226807594	0.0009422223083674908	0.12361143039507443	False
final_test_pred_tau_mse	0.007946033962070942	0.008780686184763908	0.0008346522226929665	0.10504010260678957	False
