stage	manual_endpoint_z_done_count	manual_endpoint_z_done_rate	endpoint_z_error_mean_m	endpoint_z_error_max_m	body_error_mean_m	body_error_max_m	anchor_error_mean_m	body_pos_relative_abs_max	time_steps_mean
after_reset_before_target_refresh	256	1.0	0.5298784375190735	1.194818377494812	15.289739608764648	27.233562469482422	0.03939748927950859	0.0	6196.125
after_no_advance_target_refresh	70	0.2734375	0.104344442486763	0.779679536819458	0.1527552455663681	0.8837259411811829	0.03939748927950859	19.845184326171875	6196.125
after_zero_action_step_following_warmup	17	0.06640625	0.08938737213611603	0.4715936779975891	0.14660584926605225	0.7410643100738525	0.0396161787211895	19.3641414642334	6291.77734375
