repo	head	status	tracked_modified_count	patch_path	patch_size_bytes	patch_sha256	semantic_diff_empty	diff_timed_out	status_timed_out	detail
motion_tracking_controller	cbdb4a8	snapshot_exported	16	/mnt/infini-data/test/BeyondMimic/reproduction/patches/official_worktree_snapshots/motion_tracking_controller.tracked.patch	78164	91b520a059abb0ffe043b596bc31b949a8c6fa0aceadfd1e122a9bd00f3d6f17	True	False	False	Tracked official-worktree diff snapshot exported. Empty or semantic-empty patches usually indicate line-ending or whitespace-only drift, not a functional patch series.
whole_body_tracking	cd65172	snapshot_exported	4	/mnt/infini-data/test/BeyondMimic/reproduction/patches/official_worktree_snapshots/whole_body_tracking.tracked.patch	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	True	False	False	Tracked official-worktree diff snapshot exported. Empty or semantic-empty patches usually indicate line-ending or whitespace-only drift, not a functional patch series.
