condition	motion	iteration	checkpoint	time_bins	mean_failure_rate	max_failure_rate
w	motion_3	24000.0	model_24000.pt	7	0.0	0.0
w	motion_3	25000.0	model_25000.pt	7	0.04867109656333923	0.34069767594337463
w	motion_3	26000.0	model_26000.pt	7	0.0	0.0
w	motion_3	27000.0	model_27000.pt	7	0.0	0.0
w	motion_3	28000.0	model_28000.pt	7	0.0020541551057249308	0.014379085041582584
w	motion_3	29000.0	model_29000.pt	7	0.00017746227968018502	0.0012422360014170408
w	motion_3	29999.0	model_29999.pt	7	0.0	0.0
w	motion_4	0.0	model_0.pt	4	0.7994410991668701	1.0
w	motion_4	1000.0	model_1000.pt	4	0.4974425137042999	0.9965834617614746
w	motion_4	2000.0	model_2000.pt	4	0.4975029230117798	0.9970806837081909
w	motion_4	3000.0	model_3000.pt	4	0.0	0.0
w	motion_4	4000.0	model_4000.pt	4	0.0	0.0
w	motion_4	5000.0	model_5000.pt	4	0.0	0.0
w	motion_4	6000.0	model_6000.pt	4	0.0	0.0
w	motion_4	7000.0	model_7000.pt	4	0.0	0.0
w	motion_4	8000.0	model_8000.pt	4	0.0	0.0
w	motion_4	9000.0	model_9000.pt	4	0.0	0.0
w	motion_4	10000.0	model_10000.pt	4	0.0	0.0
w	motion_4	11000.0	model_11000.pt	4	0.0	0.0
w	motion_4	12000.0	model_12000.pt	4	0.0	0.0
w	motion_4	13000.0	model_13000.pt	4	0.0	0.0
w	motion_4	14000.0	model_14000.pt	4	0.0	0.0
w	motion_4	15000.0	model_15000.pt	4	0.0	0.0
w	motion_4	16000.0	model_16000.pt	4	0.0	0.0
w	motion_4	17000.0	model_17000.pt	4	0.0	0.0
w	motion_4	18000.0	model_18000.pt	4	0.0	0.0
w	motion_4	19000.0	model_19000.pt	4	0.0	0.0
w	motion_4	20000.0	model_20000.pt	4	0.0	0.0
w	motion_4	21000.0	model_21000.pt	4	0.0	0.0
w	motion_4	22000.0	model_22000.pt	4	0.0	0.0
w	motion_4	23000.0	model_23000.pt	4	0.0	0.0
w	motion_4	24000.0	model_24000.pt	4	0.0	0.0
w	motion_4	25000.0	model_25000.pt	4	0.0	0.0
w	motion_4	26000.0	model_26000.pt	4	0.0	0.0
w	motion_4	27000.0	model_27000.pt	4	0.0	0.0
w	motion_4	28000.0	model_28000.pt	4	0.0	0.0
w	motion_4	29000.0	model_29000.pt	4	0.0	0.0
w	motion_4	29999.0	model_29999.pt	4	0.0	0.0
