stage,split,sample_count,action_mse,action_abs_error_mean,kl_mean,pred_token_mse,noisy_token_mse,denoising_improvement_ratio
vae,test,30618,0.004656913923099637,0.050205470994114876,10.225608348846436,,,
vae,train,244940,0.004574705784519514,0.04982234785954157,10.212815602620443,,,
vae,validation,30618,0.004646830027922988,0.05012158676981926,10.178711414337158,,,
diffusion,test,28570,,,,0.047805282686437876,0.08669138380459376,0.4485578544438382
diffusion,validation,28569,,,,0.04789729363151959,0.08694153438721385,0.4490861707340231
