frame,source_joint_index,time_s,root_x,root_y,root_z,joint_abs_mean,joint_vel_abs_mean
0,0,0.0,-0.002130236211472306,-0.0008714743757061809,0.7932022496080039,0.2415578851124055,0.04296884763632612
1,2,0.003998756408691406,-0.002130236211472306,-0.0008714743757061809,0.7932022496080039,0.24160622714583135,0.032457805198520935
2,4,0.007996797561645508,-0.0022101813779333624,-0.000904993762754049,0.7931768088900264,0.24165685074318577,0.021214487127445895
3,6,0.011998414993286133,-0.002375671574704623,-0.0009741309749670633,0.7931235176226681,0.24169060027433542,0.023222211688146765
4,8,0.01599407196044922,-0.0025531843076056736,-0.0010483812988158622,0.7930653328984975,0.2417157117692866,0.02024033806559726
5,10,0.020066499710083008,-0.0027237137457397542,-0.0011207582895930092,0.7930114002107338,0.24173543348598317,0.022479667386505753
6,12,0.024034976959228516,-0.002905197324913708,-0.0011972114503818467,0.792954725613298,0.24174842559421386,0.019305917900431988
7,14,0.02799367904663086,-0.003092252003839619,-0.001275390602391826,0.7928967484492251,0.24174598158123414,0.023171116982572633
8,16,0.03199315071105957,-0.0032852861568618873,-0.0013558962879887703,0.7928369539448901,0.24174874133213647,0.02579350521434741
9,18,0.036048173904418945,-0.0034824368186037774,-0.0014377244275160948,0.7927753293118786,0.24173314238653582,0.023484555538743734
10,20,0.03998875617980957,-0.0036844805038576244,-0.0015221411461157095,0.7927126997014827,0.24170840335763982,0.027917238157081962
11,22,0.043984413146972656,-0.0038903882442944825,-0.0016092277612509553,0.7926494177510257,0.24169205326851906,0.02306607868602692
12,24,0.04798436164855957,-0.004103943821531652,-0.0016996522471126663,0.7925852650653026,0.24167356034816073,0.023875058512203395
13,26,0.0519862174987793,-0.004322587805470524,-0.0017925257177348593,0.7925209857456201,0.24164043151942113,0.022352055180817842
14,28,0.05605173110961914,-0.004547441363749955,-0.0018887145739662856,0.7924565186210681,0.24162575814236711,0.020828749013037003
15,30,0.05999016761779785,-0.004778316415578993,-0.0019874240219930383,0.7923923456347435,0.24159345464406592,0.019751938784511053
16,32,0.06399202346801758,-0.0050160033963269355,-0.0020890362752341496,0.7923291171554457,0.24156838763356692,0.02228256078950804
17,34,0.06798195838928223,-0.0052599423151299144,-0.002194385749428703,0.7922648745819955,0.24152061712711342,0.021616157068035984
