task	split	window_index	scale	direction	unguided_final_cost	guided_final_cost	cost_delta	unguided_final_primary	guided_final_primary	primary_delta	primary_improved	mean_gradient_norm	nonzero_gradient_steps	final_mse_to_clean_prediction	step_count	finite
joystick	validation	1540	0.0	lower_is_better	0.510087251663208	0.510087251663208	0.0	0.024289868772029877	0.024289868772029877	0.0	False	0.0	0	4.593599722824138e-09	20	True
joystick	test	1870	0.0	lower_is_better	0.179407000541687	0.179407000541687	0.0	0.00854319054633379	0.00854319054633379	0.0	False	0.0	0	4.091998295763233e-09	20	True
joystick	validation	1540	2e-05	lower_is_better	0.510087251663208	0.4980589747428894	0.012028276920318604	0.024289868772029877	0.023717094212770462	-0.0005727745592594147	True	1.5394840240478516	20	0.000984658021479845	20	True
joystick	test	1870	2e-05	lower_is_better	0.179407000541687	0.1918918490409851	-0.012484848499298096	0.00854319054633379	0.009137706831097603	0.000594516284763813	False	1.1390025615692139	20	0.0009694119216874242	20	True
joystick	validation	1540	5e-05	lower_is_better	0.510087251663208	0.4978494644165039	0.012237787246704102	0.024289868772029877	0.02370711788535118	-0.0005827508866786957	True	1.5394139289855957	20	0.000984661397524178	20	True
joystick	test	1870	5e-05	lower_is_better	0.179407000541687	0.19180558621883392	-0.012398585677146912	0.00854319054633379	0.009133599698543549	0.0005904091522097588	False	1.138952612876892	20	0.0009694149484857917	20	True
joystick	validation	1540	0.0001	lower_is_better	0.510087251663208	0.4975009858608246	0.012586265802383423	0.024289868772029877	0.023690523579716682	-0.0005993451923131943	True	1.5392966270446777	20	0.000984666869044304	20	True
joystick	test	1870	0.0001	lower_is_better	0.179407000541687	0.19166158139705658	-0.012254580855369568	0.00854319054633379	0.009126742370426655	0.000583551824092865	False	1.1388698816299438	20	0.0009694190230220556	20	True
joystick	validation	1540	0.0002	lower_is_better	0.510087251663208	0.4968046247959137	0.013282626867294312	0.024289868772029877	0.023657362908124924	-0.000632505863904953	True	1.5390625	20	0.0009846778120845556	20	True
joystick	test	1870	0.0002	lower_is_better	0.179407000541687	0.19137383997440338	-0.01196683943271637	0.00854319054633379	0.009113039821386337	0.0005698492750525475	False	1.1387039422988892	20	0.0009694296168163419	20	True
waypoint	validation	1540	0.0	lower_is_better	1.0019950866699219	1.0019950866699219	0.0	0.1020497977733612	0.1020497977733612	0.0	False	0.0	0	4.593599722824138e-09	20	True
waypoint	test	1870	0.0	lower_is_better	1.2125270366668701	1.2125270366668701	0.0	0.12363571673631668	0.12363571673631668	0.0	False	0.0	0	4.091998295763233e-09	20	True
waypoint	validation	1540	2e-05	lower_is_better	1.0019950866699219	0.8514838814735413	0.15051120519638062	0.1020497977733612	0.08483294397592545	-0.01721685379743576	True	1.2495108842849731	20	0.0009846559260040522	20	True
waypoint	test	1870	2e-05	lower_is_better	1.2125270366668701	1.0439181327819824	0.1686089038848877	0.12363571673631668	0.11138532310724258	-0.012250393629074097	True	1.4686949253082275	20	0.0009694069740362465	20	True
waypoint	validation	1540	5e-05	lower_is_better	1.0019950866699219	0.8511747121810913	0.15082037448883057	0.1020497977733612	0.08480009436607361	-0.017249703407287598	True	1.2494447231292725	20	0.0009846563916653395	20	True
waypoint	test	1870	5e-05	lower_is_better	1.2125270366668701	1.0434879064559937	0.16903913021087646	0.12363571673631668	0.1113438531756401	-0.012291863560676575	True	1.4686110019683838	20	0.0009694022010080516	20	True
waypoint	validation	1540	0.0001	lower_is_better	1.0019950866699219	0.8506590127944946	0.15133607387542725	0.1020497977733612	0.08474532514810562	-0.017304472625255585	True	1.2493345737457275	20	0.0009846559260040522	20	True
waypoint	test	1870	0.0001	lower_is_better	1.2125270366668701	1.0427719354629517	0.16975510120391846	0.12363571673631668	0.11127486824989319	-0.012360848486423492	True	1.468471646308899	20	0.0009693948086351156	20	True
waypoint	validation	1540	0.0002	lower_is_better	1.0019950866699219	0.8496289849281311	0.15236610174179077	0.1020497977733612	0.08463586121797562	-0.01741393655538559	True	1.2491137981414795	20	0.0009846559260040522	20	True
waypoint	test	1870	0.0002	lower_is_better	1.2125270366668701	1.0413405895233154	0.1711864471435547	0.12363571673631668	0.11113683879375458	-0.012498877942562103	True	1.46819269657135	20	0.0009693800238892436	20	True
obstacle_avoidance	validation	1540	0.0	higher_is_better	1588.4306640625	1588.4306640625	0.0	-0.23567304015159607	-0.23567304015159607	0.0	False	0.0	0	4.593599722824138e-09	20	True
obstacle_avoidance	test	1870	0.0	higher_is_better	1683.640380859375	1683.640380859375	0.0	-0.23687154054641724	-0.23687154054641724	0.0	False	0.0	0	4.091998295763233e-09	20	True
obstacle_avoidance	validation	1540	2e-05	higher_is_better	1588.4306640625	1593.934326171875	-5.503662109375	-0.23567304015159607	-0.23236744105815887	0.003305599093437195	True	462.97943115234375	20	0.0009853534866124392	20	True
obstacle_avoidance	test	1870	2e-05	higher_is_better	1683.640380859375	1679.888916015625	3.75146484375	-0.23687154054641724	-0.232859268784523	0.004012271761894226	True	468.30645751953125	20	0.0009701071539893746	20	True
obstacle_avoidance	validation	1540	5e-05	higher_is_better	1588.4306640625	1586.8001708984375	1.6304931640625	-0.23567304015159607	-0.23110873997211456	0.004564300179481506	True	462.93145751953125	20	0.0009865514002740383	20	True
obstacle_avoidance	test	1870	5e-05	higher_is_better	1683.640380859375	1672.2275390625	11.412841796875	-0.23687154054641724	-0.2316068559885025	0.005264684557914734	True	468.25506591796875	20	0.000971311645116657	20	True
obstacle_avoidance	validation	1540	0.0001	higher_is_better	1588.4306640625	1574.972900390625	13.457763671875	-0.23567304015159607	-0.22901053726673126	0.006662502884864807	True	462.8514709472656	20	0.0009889547945931554	20	True
obstacle_avoidance	test	1870	0.0001	higher_is_better	1683.640380859375	1659.5234375	24.116943359375	-0.23687154054641724	-0.22951935231685638	0.007352188229560852	True	468.1692810058594	20	0.0009737436193972826	20	True
obstacle_avoidance	validation	1540	0.0002	higher_is_better	1588.4306640625	1551.553466796875	36.877197265625	-0.23567304015159607	-0.2248118668794632	0.010861173272132874	True	462.6913146972656	20	0.000995278125628829	20	True
obstacle_avoidance	test	1870	0.0002	higher_is_better	1683.640380859375	1634.35791015625	49.282470703125	-0.23687154054641724	-0.2253415584564209	0.011529982089996338	True	467.9969177246094	20	0.0009801947744563222	20	True
inpainting	validation	1540	0.0	lower_is_better	0.0011483245762065053	0.0011483245762065053	0.0	0.04792336747050285	0.04792336747050285	0.0	False	0.0	0	4.593599722824138e-09	20	True
inpainting	test	1870	0.0	lower_is_better	0.000779922935180366	0.000779922935180366	0.0	0.03949488326907158	0.03949488326907158	0.0	False	0.0	0	4.091998295763233e-09	20	True
inpainting	validation	1540	2e-05	lower_is_better	0.0011483245762065053	0.0009458248387090862	0.00020249973749741912	0.04792336747050285	0.04349309951066971	-0.004430267959833145	True	0.003530248999595642	20	0.0009846559260040522	20	True
inpainting	test	1870	2e-05	lower_is_better	0.000779922935180366	0.0005590039654634893	0.00022091896971687675	0.03949488326907158	0.03343662619590759	-0.006058257073163986	True	0.0024096264969557524	20	0.0009694102336652577	20	True
inpainting	validation	1540	5e-05	lower_is_better	0.0011483245762065053	0.0009458243730477989	0.00020250020315870643	0.04792336747050285	0.04349308833479881	-0.0044302791357040405	True	0.00353024760261178	20	0.000984656042419374	20	True
inpainting	test	1870	5e-05	lower_is_better	0.000779922935180366	0.0005590023356489837	0.00022092059953138232	0.03949488326907158	0.03343657776713371	-0.006058305501937866	True	0.0024096262641251087	20	0.0009694099426269531	20	True
