gpu_index	before_used_mb	after_reverse_used_mb	after_reserve_used_mb	memory_total_mb	reverse_peak_allocated_mb	reserve_tensor_mb	meets_target_memory
0	534	844	10000	24564	289.85205078125	9156.0	True
1	358	4182	10000	24564	3175.33349609375	5818.0	True
2	358	358	10056	24564	0.0	9642.0	True
3	358	358	10056	24564	0.0	9642.0	True
4	358	358	10056	24564	0.0	9642.0	True
5	358	358	10056	24564	0.0	9642.0	True
6	4339	4339	10057	24564	0.0	5661.0	True
7	357	357	10057	24564	0.0	9643.0	True
