backend	claim_level	component	max_ms	mean_ms	median_ms	min_ms	p95_ms	repeats	stdev_ms	warmup
pytorch_cpu	local_cpu_onnxruntime_or_pytorch_microbenchmark	vae_encoder	0.18387474119663239	0.10220405335227649	0.0985446386039257	0.09021442383527756	0.1252816990017891	120	0.012679795807172092	20
pytorch_cpu	local_cpu_onnxruntime_or_pytorch_microbenchmark	vae_decoder	0.08924026042222977	0.08037611842155457	0.07962575182318687	0.07364153861999512	0.08693761192262173	120	0.004084035621821142	20
pytorch_cpu	local_cpu_onnxruntime_or_pytorch_microbenchmark	state_latent_denoiser	0.9751236066222191	0.7683425831298033	0.7369308732450008	0.664406456053257	0.9173832833766937	120	0.0848040806293244	20
onnxruntime_cpu	local_cpu_onnxruntime_or_pytorch_microbenchmark	vae_encoder	0.08112378418445587	0.07336775306612253	0.07294164970517159	0.06956793367862701	0.07836208678781986	120	0.0023752169758356	20
onnxruntime_cpu	local_cpu_onnxruntime_or_pytorch_microbenchmark	vae_decoder	0.1124013215303421	0.07500247253725927	0.07460219785571098	0.0654030591249466	0.0815889798104763	120	0.006216994204705551	20
onnxruntime_cpu	local_cpu_onnxruntime_or_pytorch_microbenchmark	state_latent_denoiser	0.8879564702510834	0.72848213215669	0.7050544954836369	0.6320681422948837	0.8450822439044714	120	0.0748177103937098	20
onnxruntime_cpu	local_cpu_onnxruntime_sequential_pipeline_microbenchmark	onnxruntime_pipeline_sequential	0.9266790002584457	0.8577487664297223	0.8577369153499603	0.7975613698363304	0.9053008630871773	80	0.03271853619845147	10
onnxruntime_cpu_threadpool	local_cpu_onnxruntime_async_threadpool_throughput_probe	onnxruntime_pipeline_async_thread_pool		0.3490717732347548				80		0
