backend,claim_level,component,max_ms,mean_ms,median_ms,min_ms,p95_ms,repeats,stdev_ms,warmup
pytorch_cpu,local_cpu_onnxruntime_or_pytorch_microbenchmark,vae_encoder,0.13945717364549637,0.09502304407457511,0.09218836203217506,0.07944926619529724,0.1215056050568819,120,0.01210279670742158,20
pytorch_cpu,local_cpu_onnxruntime_or_pytorch_microbenchmark,vae_decoder,0.08899997919797897,0.0810071515540282,0.0816131941974163,0.0722929835319519,0.086195208132267,120,0.0034787067912353726,20
pytorch_cpu,local_cpu_onnxruntime_or_pytorch_microbenchmark,state_latent_denoiser,0.8810004219412804,0.7064078934490681,0.673237256705761,0.6520859897136688,0.8637513499706984,120,0.06073119942998221,20
onnxruntime_cpu,local_cpu_onnxruntime_or_pytorch_microbenchmark,vae_encoder,0.07739663124084473,0.06876378320157528,0.06724707782268524,0.06382167339324951,0.0759247224777937,120,0.0037234692416145683,20
onnxruntime_cpu,local_cpu_onnxruntime_or_pytorch_microbenchmark,vae_decoder,0.077076256275177,0.06623858741174142,0.06621750071644783,0.061003491282463074,0.07196981459856033,120,0.003629306474162404,20
onnxruntime_cpu,local_cpu_onnxruntime_or_pytorch_microbenchmark,state_latent_denoiser,0.8609769865870476,0.6918661296367645,0.643337145447731,0.632178969681263,0.8409563917666674,120,0.07666371926470567,20
onnxruntime_cpu,local_cpu_onnxruntime_sequential_pipeline_microbenchmark,onnxruntime_pipeline_sequential,0.985647551715374,0.8442306658253074,0.8280370384454727,0.8171563968062401,0.9277829434722662,80,0.03516098468772002,10
onnxruntime_cpu_threadpool,local_cpu_onnxruntime_async_threadpool_throughput_probe,onnxruntime_pipeline_async_thread_pool,,0.30586045468226075,,,,80,,0
