run_id	status	is_training_run	is_valid_training_run	missing_files	missing_dirs	empty_required_files	nonempty_dirs	has_training_endpoint_metrics	gap_reasons	run_dir
level_c_bounded_debug_diffusion_static_000_20260617_083000	SUCCESS	False	False	[]	[]	[]	"{""checkpoint"": true, ""figures"": true, ""videos"": false}"	True	"[""not_marked_training_run"", ""videos_dir_empty""]"	/mnt/infini-data/test/BeyondMimic/res/runs/level_c_bounded_debug_diffusion_static_000_20260617_083000
level_c_resource_adjusted_tiny_diffusion_static_000_20260617_091500	SUCCESS	False	False	[]	[]	[]	"{""checkpoint"": true, ""figures"": true, ""videos"": true}"	True	"[""not_marked_training_run""]"	/mnt/infini-data/test/BeyondMimic/res/runs/level_c_resource_adjusted_tiny_diffusion_static_000_20260617_091500
setup_checkpoint_resume_smoke_static_000_20260617_061500	SUCCESS	False	False	[]	[]	[]	"{""checkpoint"": true, ""figures"": false, ""videos"": false}"	False	"[""figures_dir_empty"", ""missing_training_endpoint_runtime_metrics"", ""not_marked_training_run"", ""videos_dir_empty""]"	/mnt/infini-data/test/BeyondMimic/res/runs/setup_checkpoint_resume_smoke_static_000_20260617_061500
setup_run_management_diagnostic_static_000_20260617_050000	INVALID	False	False	[]	[]	[]	"{""checkpoint"": false, ""figures"": false, ""videos"": false}"	False	"[""checkpoint_dir_empty"", ""figures_dir_empty"", ""missing_training_endpoint_runtime_metrics"", ""not_marked_training_run"", ""status_not_success"", ""videos_dir_empty""]"	/mnt/infini-data/test/BeyondMimic/res/runs/setup_run_management_diagnostic_static_000_20260617_050000
