path	relative_path	exists	file_size	sha256	artifact_kind	motion_name	experiment_type	source	frames_rendered	backend	ffprobe_width	ffprobe_height	ffprobe_frames	ffprobe_duration	ffprobe_avg_frame_rate	claim_level	do_not_commit_large_video	notes
/mnt/infini-data/test/BeyondMimic/official_mp4/res/official_ablation_wn25_rosbag2_2025_10_22_00_57_52/official_ablation_wn25_rosbag2_2025_10_22_00_57_52_metrics.csv	official_mp4/res/official_ablation_wn25_rosbag2_2025_10_22_00_57_52/official_ablation_wn25_rosbag2_2025_10_22_00_57_52_metrics.csv	True	56774	5c23df3139d4dbb7f46004b6505f3a7e1ad58d4f8f8da425b5ea99603753fc66	metrics_csv	official_ablation_wn25_rosbag2_2025_10_22_00_57_52	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_ablation/wn25_rosbag2_2025_10_22-00_57_52/rosbag2_2025_10_22-00_57_52_0_filter.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/videos/official_ablation_wn25_rosbag2_2025_10_22_00_57_52/official_ablation_wn25_rosbag2_2025_10_22_00_57_52_mujoco_mcap_joint_replay.mp4	official_mp4/videos/official_ablation_wn25_rosbag2_2025_10_22_00_57_52/official_ablation_wn25_rosbag2_2025_10_22_00_57_52_mujoco_mcap_joint_replay.mp4	True	1858861	1451d0dd3f1fcd450e485bfb49622f29debb9c9a0cc4fcfe37cbaf239e1779c2	mp4	official_ablation_wn25_rosbag2_2025_10_22_00_57_52	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_ablation/wn25_rosbag2_2025_10_22-00_57_52/rosbag2_2025_10_22-00_57_52_0_filter.mcap	450	osmesa	1280	720	450	15.000000	30/1	official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	True	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/res/official_ablation_wn25_rosbag2_2025_10_22_00_57_52/official_ablation_wn25_rosbag2_2025_10_22_00_57_52_summary.json	official_mp4/res/official_ablation_wn25_rosbag2_2025_10_22_00_57_52/official_ablation_wn25_rosbag2_2025_10_22_00_57_52_summary.json	True	2098	1fd776bb02f11fefcdb5d2a209a5805b43dacd7be5020368200136d31f3a3d91	summary_json	official_ablation_wn25_rosbag2_2025_10_22_00_57_52	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_ablation/wn25_rosbag2_2025_10_22-00_57_52/rosbag2_2025_10_22-00_57_52_0_filter.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/videos/official_ablation_wn5_rosbag2_2025_10_22_00_54_05/official_ablation_wn5_rosbag2_2025_10_22_00_54_05_keyframe.png	official_mp4/videos/official_ablation_wn5_rosbag2_2025_10_22_00_54_05/official_ablation_wn5_rosbag2_2025_10_22_00_54_05_keyframe.png	True	168572	9430f99eef852cfb256a641f2f34150af53cf706bb35012f7cbe5317c1dbc21e	keyframe_png	official_ablation_wn5_rosbag2_2025_10_22_00_54_05	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_ablation/wn5_rosbag2_2025_10_22-00_54_05/rosbag2_2025_10_22-00_54_05_0_filter.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/res/official_ablation_wn5_rosbag2_2025_10_22_00_54_05/official_ablation_wn5_rosbag2_2025_10_22_00_54_05_metrics.csv	official_mp4/res/official_ablation_wn5_rosbag2_2025_10_22_00_54_05/official_ablation_wn5_rosbag2_2025_10_22_00_54_05_metrics.csv	True	56998	d3c4c71dc5df8cd749fd3aa86698e7becc1f8cec95a286a0cffcad6e8903c0f1	metrics_csv	official_ablation_wn5_rosbag2_2025_10_22_00_54_05	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_ablation/wn5_rosbag2_2025_10_22-00_54_05/rosbag2_2025_10_22-00_54_05_0_filter.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/videos/official_ablation_wn5_rosbag2_2025_10_22_00_54_05/official_ablation_wn5_rosbag2_2025_10_22_00_54_05_mujoco_mcap_joint_replay.mp4	official_mp4/videos/official_ablation_wn5_rosbag2_2025_10_22_00_54_05/official_ablation_wn5_rosbag2_2025_10_22_00_54_05_mujoco_mcap_joint_replay.mp4	True	1746437	634b4df7de6889e0d71a5ad83423039b7e07cc04f3d4703164eb0d8d4d1c2232	mp4	official_ablation_wn5_rosbag2_2025_10_22_00_54_05	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_ablation/wn5_rosbag2_2025_10_22-00_54_05/rosbag2_2025_10_22-00_54_05_0_filter.mcap	450	osmesa	1280	720	450	15.000000	30/1	official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	True	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/res/official_ablation_wn5_rosbag2_2025_10_22_00_54_05/official_ablation_wn5_rosbag2_2025_10_22_00_54_05_summary.json	official_mp4/res/official_ablation_wn5_rosbag2_2025_10_22_00_54_05/official_ablation_wn5_rosbag2_2025_10_22_00_54_05_summary.json	True	2088	ce6c4e840749f562fa1b2eb4a533cccee4c14b2d0a5a2d94ea5581562d509d3c	summary_json	official_ablation_wn5_rosbag2_2025_10_22_00_54_05	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_ablation/wn5_rosbag2_2025_10_22-00_54_05/rosbag2_2025_10_22-00_54_05_0_filter.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/videos/official_agile_C1970_tkd_skill_clip1/official_agile_C1970_tkd_skill_clip1_keyframe.png	official_mp4/videos/official_agile_C1970_tkd_skill_clip1/official_agile_C1970_tkd_skill_clip1_keyframe.png	True	153164	aaa51e47a8be74ed67de1ea50ec89d5c71014d1621255da22d2d43c29518503a	keyframe_png	official_agile_C1970_tkd_skill_clip1	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1970_tkd_skill_clip1.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/res/official_agile_C1970_tkd_skill_clip1/official_agile_C1970_tkd_skill_clip1_metrics.csv	official_mp4/res/official_agile_C1970_tkd_skill_clip1/official_agile_C1970_tkd_skill_clip1_metrics.csv	True	55759	b7a6bdb65f943fd87e3ccb4a0be7b8f048bce3add7ce20207f19bbd8cce068d5	metrics_csv	official_agile_C1970_tkd_skill_clip1	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1970_tkd_skill_clip1.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/videos/official_agile_C1970_tkd_skill_clip1/official_agile_C1970_tkd_skill_clip1_mujoco_mcap_joint_replay.mp4	official_mp4/videos/official_agile_C1970_tkd_skill_clip1/official_agile_C1970_tkd_skill_clip1_mujoco_mcap_joint_replay.mp4	True	370809	1dd63c230b0ba80e349f0e76acdf10211017914caf36d9fbec8dc18882c6831b	mp4	official_agile_C1970_tkd_skill_clip1	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1970_tkd_skill_clip1.mcap	450	osmesa	1280	720	450	15.000000	30/1	official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	True	official released-data MuJoCo visualization; not closed-loop policy reproduction
