split	window_count	token_count	vae_decoded_action_mse	vae_teacher_action_mse	vae_teacher_student_mse	vae_kl_mean	latent_abs_mean	latent_first_difference_mean_norm	latent_second_difference_mean_norm	diffusion_noisy_tau_mse	diffusion_pred_tau_mse	diffusion_tau_mse_reduction_vs_noisy	diffusion_pred_projected_state_mse	diffusion_pred_latent_mse	diffusion_pred_current_latent_mse	decoded_pred_current_action_mse	decoded_pred_sequence_action_mse	pred_action_first_difference_mean_norm	reference_action_first_difference_mean_norm	pred_action_second_difference_mean_norm	reference_action_second_difference_mean_norm	pred_tau_first_difference_mean_norm	clean_tau_first_difference_mean_norm	pred_tau_second_difference_mean_norm	clean_tau_second_difference_mean_norm	pred_latent_first_difference_mean_norm	pred_latent_second_difference_mean_norm
train	1540	32340	0.03269533812999725	0.07933453470468521	0.039223071187734604	0.5624513626098633	0.506274938583374	0.2582574188709259	0.13934117555618286	0.06670871376991272	0.009890343062579632	0.8517383636462734	0.00965259037911892	0.011428331024944782	0.011272009462118149	0.03433765843510628	0.0344109907746315	0.21307501196861267	0.19298332929611206	0.29650336503982544	0.11151230335235596	1.8826018571853638	0.8977192044258118	2.877742052078247	0.6153531074523926	0.6921420097351074	1.118579626083374
validation	330	6930	0.02712078019976616	0.056381985545158386	0.031111929565668106	0.4725886881351471	0.4408242106437683	0.17302127182483673	0.07411404699087143	0.06742224097251892	0.007752980571240187	0.8850085600922064	0.00739686656743288	0.010056589730083942	0.011098481714725494	0.029158219695091248	0.02861632965505123	0.1838228553533554	0.14226964116096497	0.2830184996128082	0.065003402531147	1.6656070947647095	0.5236361026763916	2.747781276702881	0.2904821038246155	0.6484149694442749	1.0910322666168213
test	330	6930	0.032622650265693665	0.06705649197101593	0.032841525971889496	0.5659266114234924	0.4593886435031891	0.17436343431472778	0.07839003205299377	0.06631418317556381	0.007869400084018707	0.8813315687960022	0.007517560385167599	0.010145355947315693	0.009855895303189754	0.03400135412812233	0.03414377570152283	0.1853969395160675	0.1427316814661026	0.2847289443016052	0.07109873741865158	1.653929591178894	0.5250627994537354	2.7364046573638916	0.3185553550720215	0.6463425159454346	1.0861849784851074
