variant,step,reward,done,action_abs_mean,target_body_error_mean,teacher_vae_mse,denoised_teacher_mse,guided_teacher_mse,guided_base_mse,guidance_cost_before,guidance_cost_after
teacher,0,0.012111779302358627,1,0.09776431322097778,0.0003909085353370756,0.0007758778519928455,0.008593683131039143,0.008593510836362839,0.007993433624505997,0.31493818759918213,0.3149335980415344
teacher,1,0.04611113294959068,0,0.07181526720523834,0.0009071954409591854,0.00038516116910614073,0.005546587985008955,0.005546508822590113,0.006050640717148781,0.3113916218280792,0.3113879859447479
teacher,2,0.04145314544439316,0,0.14206929504871368,0.002597847254946828,0.0011664661578834057,0.005522607360035181,0.005522501654922962,0.004570445977151394,1.0580276250839233,1.0580191612243652
teacher,3,0.03828490152955055,0,0.20101192593574524,0.010602222755551338,0.0009540251339785755,0.005372873041778803,0.005372816231101751,0.005785126239061356,1.0122647285461426,1.0122562646865845
teacher,4,0.03685726597905159,0,0.2724764049053192,0.021746141836047173,0.0017009766306728125,0.006471596658229828,0.006471480708569288,0.003782053478062153,1.2538329362869263,1.253823161125183
teacher,5,0.03394128009676933,0,0.32881495356559753,0.03763255476951599,0.0007057161419652402,0.004671751521527767,0.004671712405979633,0.0036478389520198107,1.5029296875,1.5029187202453613
teacher,6,0.031531281769275665,0,0.3812903165817261,0.056938085705041885,0.0021185302175581455,0.011352183297276497,0.011352013796567917,0.005717629101127386,1.3960949182510376,1.3960847854614258
teacher,7,0.028788063675165176,0,0.4340817928314209,0.08057631552219391,0.0009086153004318476,0.005302826873958111,0.005302745383232832,0.0033756473567336798,0.7730823159217834,0.7730754613876343
teacher,8,0.026028741151094437,0,0.4928552210330963,0.10785631090402603,0.001159211969934404,0.004708216991275549,0.004708176478743553,0.0029726263601332903,1.1199767589569092,1.1199679374694824
teacher,9,0.02183893695473671,0,0.5625159740447998,0.13923151791095734,0.0010057981126010418,0.0034451093524694443,0.0034450688399374485,0.002908098278567195,0.8764410614967346,0.8764338493347168
teacher,10,0.018486063927412033,0,0.6279423236846924,0.1744248867034912,0.0012869547354057431,0.00651835510507226,0.0065183574333786964,0.004211615305393934,0.9350755214691162,0.9350678324699402
teacher,11,0.014849592000246048,0,0.6889540553092957,0.21386981010437012,0.00180296809412539,0.012551671825349331,0.012551539577543736,0.0073382668197155,1.3016222715377808,1.3016122579574585
teacher,12,0.0114222951233387,1,0.7545959949493408,0.007665191311389208,0.0016540450742468238,0.009186146780848503,0.00918609369546175,0.006167216692119837,1.0063709020614624,1.006363034248352
teacher,13,0.04794732853770256,0,0.09447100758552551,0.008224708959460258,0.001243183622136712,0.0034372301306575537,0.003437179373577237,0.002541992114856839,0.32346710562705994,0.32346343994140625
teacher,14,0.0436721034348011,0,0.19547468423843384,0.003857122967019677,0.0058931512758135796,0.011174489744007587,0.011174328625202179,0.005865537095814943,1.8408863544464111,1.84087336063385
