1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.999532,0.999080,1.000000,1.000000,1.000000,0.000000,0.000000
0.998595,1.000000,0.999540,1.000000,1.000000,0.000000,0.000000
0.997353,0.998102,1.000000,1.000000,1.000000,0.000000,0.000000
0.996764,0.999344,1.000000,1.000000,1.000000,0.000000,0.000000
0.996644,0.998048,0.999385,1.000000,1.000000,0.000000,0.000000
0.996689,0.999370,1.000000,1.000000,1.000000,0.000000,0.000000
0.997993,0.997394,0.999354,0.999365,1.000000,0.000000,0.000000
0.967543,0.979365,0.990188,0.996047,0.003888,0.000000,0.000000
0.975914,0.980330,0.986667,0.998501,0.000000,0.000000,0.000000
0.974563,0.979861,0.995157,0.996999,0.136364,0.000000,0.000000
0.976860,0.989088,0.993182,0.996977,0.137670,0.000000,0.000000
0.977537,0.982386,0.987932,0.995479,0.061025,0.000000,0.000000
0.986911,0.983521,0.992349,0.997749,0.098795,0.000000,0.000000
0.984079,0.991792,0.990767,0.997216,0.748782,0.000000,0.000000
0.968939,0.976929,0.986466,0.993098,0.000000,0.000000,0.000000
0.983292,0.987200,0.991686,0.997010,0.156847,0.000000,0.000000
0.982011,0.977668,0.987934,0.996136,0.000000,0.000000,0.000000
0.967453,0.985306,0.994258,0.998430,0.000000,0.000000,0.000000
0.970514,0.979952,0.992617,0.994016,0.000805,0.000000,0.000000
0.968980,0.986066,0.988827,0.991597,0.000000,0.000000,0.000000
0.974958,0.982172,0.989550,0.994488,0.000000,0.000000,0.000000
0.976211,0.981749,0.989431,0.994709,0.000000,0.000000,0.000000
0.972637,0.979009,0.992985,0.995526,0.000000,0.000000,0.000000
0.966802,0.976365,0.991571,0.996748,0.000000,0.000000,0.000000
0.969019,0.986540,0.990203,0.996372,0.000000,0.000000,0.000000
0.959967,0.982059,0.988156,0.996797,0.000000,0.000000,0.000000
0.973488,0.989796,0.987884,0.996100,0.000000,0.000000,0.000000
0.966466,0.977742,0.984153,0.995320,0.000000,0.000000,0.000000
0.973409,0.980214,0.989344,0.994697,0.000000,0.000000,0.000000
0.973345,0.979407,0.990291,0.993103,0.000000,0.000000,0.000000
